7985;27.02.20 15:00:23;10;Repair_strategy;force > max. force (8);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;138,51;2,15;0,00;0,00;
0,00;0,00;138,61;2,14;0,00;0,00;
0,00;0,00;138,70;2,18;0,00;0,00;
0,00;0,00;138,80;2,16;0,00;0,00;
0,00;0,00;138,90;2,13;0,00;0,00;
0,00;0,00;138,99;2,15;0,00;0,00;
0,00;0,00;139,09;2,14;0,00;0,00;
0,00;0,00;139,19;2,12;0,00;0,00;
0,00;0,00;139,28;2,12;0,00;0,00;
0,00;0,00;139,38;2,12;0,00;0,00;
0,00;0,00;139,47;2,09;0,00;0,00;
0,00;0,00;139,57;2,09;0,00;0,00;
0,00;0,00;139,66;2,09;0,00;0,00;
0,00;0,00;139,76;2,08;0,00;0,00;
0,00;0,00;139,86;2,05;0,00;0,00;
0,00;0,00;139,95;2,05;0,00;0,00;
0,00;0,00;140,05;2,04;0,00;0,00;
0,00;0,00;140,14;2,00;0,00;0,00;
0,00;0,00;140,24;2,00;0,00;0,00;
0,00;0,00;140,34;1,97;0,00;0,00;
0,00;0,00;140,43;1,96;0,00;0,00;
0,00;0,00;140,53;1,93;0,00;0,00;
0,00;0,00;140,62;1,94;0,00;0,00;
0,00;0,00;140,72;1,91;0,00;0,00;
0,00;0,00;140,82;1,90;0,00;0,00;
0,00;0,00;140,91;1,88;0,00;0,00;
0,00;0,00;141,01;1,87;0,00;0,00;
0,00;0,00;141,11;1,87;0,00;0,00;
0,00;0,00;141,20;1,86;0,00;0,00;
0,00;0,00;141,30;1,85;0,00;0,00;
0,00;0,00;141,39;1,84;0,00;0,00;
0,00;0,00;141,49;1,83;0,00;0,00;
0,00;0,00;141,58;1,85;0,00;0,00;
0,00;0,00;141,68;1,83;0,00;0,00;
0,00;0,00;141,78;1,82;0,00;0,00;
0,00;0,00;141,87;1,80;0,00;0,00;
0,00;0,00;141,97;1,80;0,00;0,00;
0,00;0,00;142,06;1,80;0,00;0,00;
0,00;0,00;142,16;1,80;0,00;0,00;
0,00;0,00;142,26;1,80;0,00;0,00;
0,00;0,00;142,35;1,78;0,00;0,00;
0,00;0,00;142,45;1,80;0,00;0,00;
0,00;0,00;142,54;1,80;0,00;0,00;
0,00;0,00;142,64;1,80;0,00;0,00;
