7995;27.02.20 15:23:09;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;139,16;1,63;0,00;0,00;
0,00;0,00;139,26;1,64;0,00;0,00;
0,00;0,00;139,35;1,64;0,00;0,00;
0,00;0,00;139,45;1,61;0,00;0,00;
0,00;0,00;139,54;1,61;0,00;0,00;
0,00;0,00;139,64;1,59;0,00;0,00;
0,00;0,00;139,74;1,58;0,00;0,00;
0,00;0,00;139,83;1,57;0,00;0,00;
0,00;0,00;139,93;1,55;0,00;0,00;
0,00;0,00;140,02;1,50;0,00;0,00;
0,00;0,00;140,12;1,53;0,00;0,00;
0,00;0,00;140,22;1,52;0,00;0,00;
0,00;0,00;140,31;1,50;0,00;0,00;
0,00;0,00;140,41;1,47;0,00;0,00;
0,00;0,00;140,50;1,49;0,00;0,00;
0,00;0,00;140,60;1,46;0,00;0,00;
0,00;0,00;140,70;1,45;0,00;0,00;
0,00;0,00;140,79;1,45;0,00;0,00;
0,00;0,00;140,89;1,44;0,00;0,00;
0,00;0,00;140,99;1,42;0,00;0,00;
0,00;0,00;141,08;1,43;0,00;0,00;
0,00;0,00;141,18;1,43;0,00;0,00;
0,00;0,00;141,27;1,42;0,00;0,00;
0,00;0,00;141,37;1,40;0,00;0,00;
0,00;0,00;141,46;1,41;0,00;0,00;
0,00;0,00;141,56;1,41;0,00;0,00;
0,00;0,00;141,66;1,39;0,00;0,00;
0,00;0,00;141,75;1,40;0,00;0,00;
0,00;0,00;141,85;1,40;0,00;0,00;
0,00;0,00;141,94;1,39;0,00;0,00;
0,00;0,00;142,04;1,41;0,00;0,00;
0,00;0,00;142,14;1,42;0,00;0,00;
0,00;0,00;142,23;1,37;0,00;0,00;
0,00;0,00;142,33;1,40;0,00;0,00;
0,00;0,00;142,42;1,39;0,00;0,00;
0,00;0,00;142,52;1,38;0,00;0,00;
0,00;0,00;142,62;1,39;0,00;0,00;
0,00;0,00;142,71;1,39;0,00;0,00;
0,00;0,00;142,81;1,39;0,00;0,00;
0,00;0,00;142,90;1,39;0,00;0,00;
0,00;0,00;143,00;1,40;0,00;0,00;
0,00;0,00;143,10;1,39;0,00;0,00;
0,00;0,00;143,19;1,38;0,00;0,00;
0,00;0,00;143,29;1,40;0,00;0,00;
0,00;0,00;143,38;1,42;0,00;0,00;
0,00;0,00;143,48;1,40;0,00;0,00;
0,00;0,00;143,58;1,43;0,00;0,00;
0,00;0,00;143,67;1,43;0,00;0,00;
0,00;0,00;143,77;1,43;0,00;0,00;
0,00;0,00;143,86;1,44;0,00;0,00;
0,00;0,00;143,96;1,42;0,00;0,00;
0,00;0,00;144,05;1,42;0,00;0,00;
0,00;0,00;144,15;1,42;0,00;0,00;
0,00;0,00;144,25;1,42;0,00;0,00;
0,00;0,00;144,35;1,40;0,00;0,00;
0,00;0,00;144,44;1,39;0,00;0,00;
0,00;0,00;144,54;1,40;0,00;0,00;
0,00;0,00;144,63;1,37;0,00;0,00;
0,00;0,00;144,73;1,35;0,00;0,00;
0,00;0,00;144,83;1,37;0,00;0,00;
0,00;0,00;144,92;1,36;0,00;0,00;
0,00;0,00;145,02;1,34;0,00;0,00;
0,00;0,00;145,11;1,35;0,00;0,00;
0,00;0,00;145,21;1,34;0,00;0,00;
0,00;0,00;145,30;1,29;0,00;0,00;
0,00;0,00;145,40;1,29;0,00;0,00;
0,00;0,00;145,50;1,29;0,00;0,00;
0,00;0,00;145,59;1,26;0,00;0,00;
0,00;0,00;145,69;1,23;0,00;0,00;
0,00;0,00;145,78;1,24;0,00;0,00;
0,00;0,00;145,88;1,22;0,00;0,00;
0,00;0,00;145,98;1,20;0,00;0,00;
0,00;0,00;146,07;1,20;0,00;0,00;
0,00;0,00;146,17;1,18;0,00;0,00;
0,00;0,00;146,26;1,14;0,00;0,00;
0,00;0,00;146,36;1,15;0,00;0,00;
0,00;0,00;146,46;1,14;0,00;0,00;
0,00;0,00;146,55;1,12;0,00;0,00;
0,00;0,00;146,65;1,11;0,00;0,00;
0,00;0,00;146,75;1,12;0,00;0,00;
0,00;0,00;146,84;1,11;0,00;0,00;
0,00;0,00;146,94;1,07;0,00;0,00;
0,00;0,00;147,03;1,10;0,00;0,00;
0,00;0,00;147,13;1,09;0,00;0,00;
0,00;0,00;147,22;1,08;0,00;0,00;
0,00;0,00;147,32;1,10;0,00;0,00;
0,00;0,00;147,41;1,10;0,00;0,00;
0,00;0,00;147,51;1,07;0,00;0,00;
0,00;0,00;147,61;1,11;0,00;0,00;
0,00;0,00;147,70;1,10;0,00;0,00;
0,00;0,00;147,80;1,08;0,00;0,00;
0,00;0,00;147,90;1,11;0,00;0,00;
0,00;0,00;147,99;1,12;0,00;0,00;
0,00;0,00;148,09;1,12;0,00;0,00;
0,00;0,00;148,18;1,11;0,00;0,00;
0,00;0,00;148,28;1,12;0,00;0,00;
0,00;0,00;148,38;1,13;0,00;0,00;
0,00;0,00;148,47;1,14;0,00;0,00;
0,00;0,00;148,57;1,15;0,00;0,00;
0,00;0,00;148,66;1,16;0,00;0,00;
0,00;0,00;148,76;1,14;0,00;0,00;
0,00;0,00;148,86;1,15;0,00;0,00;
0,00;0,00;148,95;1,15;0,00;0,00;
0,00;0,00;149,05;1,14;0,00;0,00;
0,00;0,00;149,14;1,15;0,00;0,00;
0,00;0,00;149,24;1,17;0,00;0,00;
0,00;0,00;149,34;1,13;0,00;0,00;
0,00;0,00;149,43;1,14;0,00;0,00;
0,00;0,00;149,53;1,15;0,00;0,00;
0,00;0,00;149,62;1,15;0,00;0,00;
0,00;0,00;149,72;1,12;0,00;0,00;
0,00;0,00;149,82;1,15;0,00;0,00;
0,00;0,00;149,91;1,13;0,00;0,00;
0,00;0,00;150,01;1,12;0,00;0,00;
0,00;0,00;150,10;1,12;0,00;0,00;
0,00;0,00;150,20;1,12;0,00;0,00;
0,00;0,00;150,30;1,10;0,00;0,00;
0,00;0,00;150,39;1,11;0,00;0,00;
0,00;0,00;150,49;1,11;0,00;0,00;
0,00;0,00;150,58;1,08;0,00;0,00;
0,00;0,00;150,68;1,09;0,00;0,00;
0,00;0,00;150,78;1,07;0,00;0,00;
0,00;0,00;150,87;1,07;0,00;0,00;
0,00;0,00;150,97;1,06;0,00;0,00;
0,00;0,00;151,06;1,06;0,00;0,00;
0,00;0,00;151,16;1,05;0,00;0,00;
0,00;0,00;151,26;1,04;0,00;0,00;
0,00;0,00;151,35;1,05;0,00;0,00;
0,00;0,00;151,45;1,04;0,00;0,00;
0,00;0,00;151,54;1,02;0,00;0,00;
0,00;0,00;151,64;1,03;0,00;0,00;
0,00;0,00;151,74;1,03;0,00;0,00;
0,00;0,00;151,83;1,02;0,00;0,00;
0,00;0,00;151,93;1,04;0,00;0,00;
0,00;0,00;152,02;1,02;0,00;0,00;
0,00;0,00;152,12;1,02;0,00;0,00;
0,00;0,00;152,22;1,01;0,00;0,00;
0,00;0,00;152,31;0,99;0,00;0,00;
0,00;0,00;152,41;0,99;0,00;0,00;
0,00;0,00;152,50;0,99;0,00;0,00;
0,00;0,00;152,60;1,00;0,00;0,00;
0,00;0,00;152,70;0,99;0,00;0,00;
0,00;0,00;152,79;0,97;0,00;0,00;
0,00;0,00;152,89;0,96;0,00;0,00;
0,00;0,00;152,99;0,98;0,00;0,00;
0,00;0,00;153,08;0,96;0,00;0,00;
0,00;0,00;153,18;0,97;0,00;0,00;
0,00;0,00;153,27;0,96;0,00;0,00;
0,00;0,00;153,37;0,98;0,00;0,00;
0,00;0,00;153,46;0,98;0,00;0,00;
0,00;0,00;153,56;0,98;0,00;0,00;
0,00;0,00;153,66;0,99;0,00;0,00;
0,00;0,00;153,75;0,99;0,00;0,00;
0,00;0,00;153,85;1,04;0,00;0,00;
0,00;0,00;153,94;1,02;0,00;0,00;
0,00;0,00;154,04;1,02;0,00;0,00;
0,00;0,00;154,14;1,02;0,00;0,00;
0,00;0,00;154,23;1,03;0,00;0,00;
0,00;0,00;154,33;1,02;0,00;0,00;
0,00;0,00;154,42;1,02;0,00;0,00;
0,00;0,00;154,52;1,05;0,00;0,00;
0,00;0,00;154,62;1,04;0,00;0,00;
