8004;27.02.20 16:34:53;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;139,60;1,02;0,00;0,00;
0,00;0,00;139,73;1,01;0,00;0,00;
0,00;0,00;139,86;1,02;0,00;0,00;
0,00;0,00;139,99;1,02;0,00;0,00;
0,00;0,00;140,11;1,02;0,00;0,00;
0,00;0,00;140,24;1,02;0,00;0,00;
0,00;0,00;140,37;1,02;0,00;0,00;
0,00;0,00;140,50;1,02;0,00;0,00;
0,00;0,00;140,63;1,02;0,00;0,00;
0,00;0,00;140,76;1,02;0,00;0,00;
0,00;0,00;140,88;1,02;0,00;0,00;
0,00;0,00;141,01;1,01;0,00;0,00;
0,00;0,00;141,14;1,00;0,00;0,00;
0,00;0,00;141,27;1,00;0,00;0,00;
0,00;0,00;141,40;1,00;0,00;0,00;
0,00;0,00;141,52;1,02;0,00;0,00;
0,00;0,00;141,65;1,01;0,00;0,00;
0,00;0,00;141,78;1,00;0,00;0,00;
0,00;0,00;141,91;0,99;0,00;0,00;
0,00;0,00;142,03;1,01;0,00;0,00;
0,00;0,00;142,16;1,01;0,00;0,00;
0,00;0,00;142,29;0,99;0,00;0,00;
0,00;0,00;142,42;1,00;0,00;0,00;
0,00;0,00;142,55;0,99;0,00;0,00;
0,00;0,00;142,68;1,00;0,00;0,00;
0,00;0,00;142,80;0,99;0,00;0,00;
0,00;0,00;142,93;0,99;0,00;0,00;
0,00;0,00;143,06;0,99;0,00;0,00;
0,00;0,00;143,19;0,98;0,00;0,00;
0,00;0,00;143,31;0,98;0,00;0,00;
0,00;0,00;143,44;0,97;0,00;0,00;
0,00;0,00;143,57;0,96;0,00;0,00;
0,00;0,00;143,70;0,96;0,00;0,00;
0,00;0,00;143,83;0,94;0,00;0,00;
0,00;0,00;143,95;0,94;0,00;0,00;
0,00;0,00;144,08;0,93;0,00;0,00;
0,00;0,00;144,21;0,94;0,00;0,00;
0,00;0,00;144,34;0,93;0,00;0,00;
0,00;0,00;144,47;0,93;0,00;0,00;
0,00;0,00;144,59;0,93;0,00;0,00;
0,00;0,00;144,72;0,92;0,00;0,00;
0,00;0,00;144,85;0,92;0,00;0,00;
0,00;0,00;144,98;0,93;0,00;0,00;
0,00;0,00;145,11;0,92;0,00;0,00;
0,00;0,00;145,23;0,92;0,00;0,00;
0,00;0,00;145,36;0,91;0,00;0,00;
0,00;0,00;145,49;0,91;0,00;0,00;
0,00;0,00;145,62;0,90;0,00;0,00;
0,00;0,00;145,75;0,91;0,00;0,00;
0,00;0,00;145,87;0,90;0,00;0,00;
0,00;0,00;146,00;0,91;0,00;0,00;
0,00;0,00;146,13;0,91;0,00;0,00;
0,00;0,00;146,26;0,91;0,00;0,00;
0,00;0,00;146,39;0,91;0,00;0,00;
0,00;0,00;146,51;0,93;0,00;0,00;
0,00;0,00;146,64;0,93;0,00;0,00;
0,00;0,00;146,77;0,91;0,00;0,00;
0,00;0,00;146,90;0,92;0,00;0,00;
0,00;0,00;147,03;0,92;0,00;0,00;
0,00;0,00;147,15;0,92;0,00;0,00;
0,00;0,00;147,28;0,90;0,00;0,00;
0,00;0,00;147,41;0,91;0,00;0,00;
0,00;0,00;147,54;0,92;0,00;0,00;
0,00;0,00;147,67;0,92;0,00;0,00;
0,00;0,00;147,79;0,91;0,00;0,00;
0,00;0,00;147,92;0,90;0,00;0,00;
0,00;0,00;148,05;0,91;0,00;0,00;
0,00;0,00;148,18;0,92;0,00;0,00;
0,00;0,00;148,31;0,90;0,00;0,00;
0,00;0,00;148,43;0,91;0,00;0,00;
0,00;0,00;148,56;0,90;0,00;0,00;
0,00;0,00;148,69;0,91;0,00;0,00;
0,00;0,00;148,82;0,90;0,00;0,00;
0,00;0,00;148,95;0,90;0,00;0,00;
0,00;0,00;149,07;0,90;0,00;0,00;
0,00;0,00;149,20;0,88;0,00;0,00;
0,00;0,00;149,33;0,88;0,00;0,00;
0,00;0,00;149,46;0,88;0,00;0,00;
0,00;0,00;149,59;0,89;0,00;0,00;
0,00;0,00;149,71;0,89;0,00;0,00;
0,00;0,00;149,84;0,90;0,00;0,00;
0,00;0,00;149,97;0,90;0,00;0,00;
0,00;0,00;150,10;0,90;0,00;0,00;
0,00;0,00;150,23;0,90;0,00;0,00;
0,00;0,00;150,35;0,90;0,00;0,00;
0,00;0,00;150,48;0,90;0,00;0,00;
0,00;0,00;150,61;0,90;0,00;0,00;
0,00;0,00;150,74;0,90;0,00;0,00;
0,00;0,00;150,87;0,90;0,00;0,00;
0,00;0,00;150,99;0,89;0,00;0,00;
0,00;0,00;151,12;0,90;0,00;0,00;
0,00;0,00;151,25;0,90;0,00;0,00;
0,00;0,00;151,38;0,92;0,00;0,00;
0,00;0,00;151,51;0,90;0,00;0,00;
0,00;0,00;151,64;0,90;0,00;0,00;
0,00;0,00;151,76;0,91;0,00;0,00;
0,00;0,00;151,89;0,91;0,00;0,00;
0,00;0,00;152,02;0,90;0,00;0,00;
0,00;0,00;152,15;0,92;0,00;0,00;
0,00;0,00;152,27;0,92;0,00;0,00;
0,00;0,00;152,40;0,93;0,00;0,00;
0,00;0,00;152,53;0,93;0,00;0,00;
0,00;0,00;152,66;0,93;0,00;0,00;
0,00;0,00;152,79;0,92;0,00;0,00;
0,00;0,00;152,92;0,93;0,00;0,00;
0,00;0,00;153,04;0,93;0,00;0,00;
0,00;0,00;153,17;0,93;0,00;0,00;
0,00;0,00;153,30;0,93;0,00;0,00;
0,00;0,00;153,43;0,93;0,00;0,00;
0,00;0,00;153,56;0,92;0,00;0,00;
0,00;0,00;153,68;0,93;0,00;0,00;
0,00;0,00;153,81;0,93;0,00;0,00;
0,00;0,00;153,94;0,93;0,00;0,00;
0,00;0,00;154,07;0,93;0,00;0,00;
0,00;0,00;154,19;0,93;0,00;0,00;
0,00;0,00;154,32;0,93;0,00;0,00;
0,00;0,00;154,45;0,92;0,00;0,00;
0,00;0,00;154,58;0,92;0,00;0,00;
0,00;0,00;154,71;0,90;0,00;0,00;
0,00;0,00;154,84;0,90;0,00;0,00;
0,00;0,00;154,96;0,92;0,00;0,00;
0,00;0,00;155,09;0,90;0,00;0,00;
0,00;0,00;155,22;0,90;0,00;0,00;
0,00;0,00;155,35;0,91;0,00;0,00;
0,00;0,00;155,47;0,90;0,00;0,00;
0,00;0,00;155,60;0,90;0,00;0,00;
0,00;0,00;155,73;0,91;0,00;0,00;
0,00;0,00;155,86;0,91;0,00;0,00;
0,00;0,00;155,99;0,90;0,00;0,00;
0,00;0,00;156,11;0,90;0,00;0,00;
0,00;0,00;156,24;0,90;0,00;0,00;
0,00;0,00;156,37;0,90;0,00;0,00;
0,00;0,00;156,50;0,91;0,00;0,00;
0,00;0,00;156,63;0,91;0,00;0,00;
0,00;0,00;156,76;0,90;0,00;0,00;
0,00;0,00;156,88;0,92;0,00;0,00;
0,00;0,00;157,01;0,91;0,00;0,00;
0,00;0,00;157,14;0,91;0,00;0,00;
0,00;0,00;157,27;0,90;0,00;0,00;
0,00;0,00;157,39;0,93;0,00;0,00;
0,00;0,00;157,52;0,93;0,00;0,00;
0,00;0,00;157,65;0,93;0,00;0,00;
0,00;0,00;157,78;0,93;0,00;0,00;
0,00;0,00;157,91;0,95;0,00;0,00;
0,00;0,00;158,04;0,94;0,00;0,00;
0,00;0,00;158,16;0,96;0,00;0,00;
0,00;0,00;158,29;0,95;0,00;0,00;
0,00;0,00;158,42;0,96;0,00;0,00;
0,00;0,00;158,55;0,95;0,00;0,00;
0,00;0,00;158,67;0,96;0,00;0,00;
0,00;0,00;158,80;0,96;0,00;0,00;
0,00;0,00;158,93;0,96;0,00;0,00;
0,00;0,00;159,06;0,96;0,00;0,00;
0,00;0,00;159,19;0,96;0,00;0,00;
0,00;0,00;159,31;0,96;0,00;0,00;
0,00;0,00;159,44;0,96;0,00;0,00;
0,00;0,00;159,57;0,96;0,00;0,00;
0,00;0,00;159,70;0,96;0,00;0,00;
0,00;0,00;159,83;0,96;0,00;0,00;
0,00;0,00;159,96;0,96;0,00;0,00;
0,00;0,00;160,08;0,96;0,00;0,00;
0,00;0,00;160,21;0,96;0,00;0,00;
0,00;0,00;160,34;0,96;0,00;0,00;
0,00;0,00;160,47;0,96;0,00;0,00;
0,00;0,00;160,59;0,96;0,00;0,00;
0,00;0,00;160,72;1,72;0,00;0,00;
0,00;0,00;160,78;3,34;0,00;0,00;
0,00;0,00;160,78;3,24;0,00;0,00;
0,00;0,00;160,79;3,29;0,00;0,00;
0,00;0,00;160,79;3,34;0,00;0,00;
0,00;0,00;160,79;3,39;0,00;0,00;
0,00;0,00;160,80;3,42;0,00;0,00;
0,00;0,00;161,03;9,14;0,00;0,00;
0,00;0,00;161,32;19,95;0,00;0,00;
0,00;0,00;161,12;13,03;0,00;0,00;
0,00;0,00;161,25;16,27;0,00;0,00;
0,00;0,00;161,27;17,39;0,00;0,00;
