7987;27.02.20 15:03:31;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);
0,00;0,00;134,65;1,56;0,00;0,00;
0,00;0,00;134,74;1,60;0,00;0,00;
0,00;0,00;134,84;1,61;0,00;0,00;
0,00;0,00;134,93;1,61;0,00;0,00;
0,00;0,00;135,03;1,63;0,00;0,00;
0,00;0,00;135,13;1,63;0,00;0,00;
0,00;0,00;135,22;1,65;0,00;0,00;
0,00;0,00;135,32;1,64;0,00;0,00;
0,00;0,00;135,42;1,65;0,00;0,00;
0,00;0,00;135,51;1,66;0,00;0,00;
0,00;0,00;135,61;1,64;0,00;0,00;
0,00;0,00;135,70;1,67;0,00;0,00;
0,00;0,00;135,80;1,69;0,00;0,00;
0,00;0,00;135,90;1,67;0,00;0,00;
0,00;0,00;135,99;1,65;0,00;0,00;
0,00;0,00;136,09;1,67;0,00;0,00;
0,00;0,00;136,18;1,68;0,00;0,00;
0,00;0,00;136,28;1,67;0,00;0,00;
0,00;0,00;136,38;1,66;0,00;0,00;
0,00;0,00;136,47;1,67;0,00;0,00;
0,00;0,00;136,57;1,67;0,00;0,00;
0,00;0,00;136,66;1,67;0,00;0,00;
0,00;0,00;136,76;1,66;0,00;0,00;
0,00;0,00;136,86;1,67;0,00;0,00;
0,00;0,00;136,95;1,66;0,00;0,00;
0,00;0,00;137,05;1,66;0,00;0,00;
0,00;0,00;137,14;1,66;0,00;0,00;
0,00;0,00;137,24;1,63;0,00;0,00;
0,00;0,00;137,34;1,64;0,00;0,00;
0,00;0,00;137,43;1,66;0,00;0,00;
0,00;0,00;137,53;1,66;0,00;0,00;
0,00;0,00;137,62;1,66;0,00;0,00;
0,00;0,00;137,72;1,63;0,00;0,00;
0,00;0,00;137,81;1,66;0,00;0,00;
0,00;0,00;137,91;1,66;0,00;0,00;
0,00;0,00;138,01;1,66;0,00;0,00;
0,00;0,00;138,10;1,66;0,00;0,00;
0,00;0,00;138,20;1,67;0,00;0,00;
0,00;0,00;138,30;1,68;0,00;0,00;
0,00;0,00;138,39;1,68;0,00;0,00;
0,00;0,00;138,49;1,67;0,00;0,00;
0,00;0,00;138,58;1,72;0,00;0,00;
0,00;0,00;138,68;1,69;0,00;0,00;
0,00;0,00;138,78;1,69;0,00;0,00;
0,00;0,00;138,87;1,70;0,00;0,00;
0,00;0,00;138,97;1,69;0,00;0,00;
0,00;0,00;139,06;1,69;0,00;0,00;
0,00;0,00;139,16;1,70;0,00;0,00;
0,00;0,00;139,26;1,68;0,00;0,00;
0,00;0,00;139,35;1,67;0,00;0,00;
0,00;0,00;139,45;1,64;0,00;0,00;
0,00;0,00;139,54;1,67;0,00;0,00;
0,00;0,00;139,64;1,66;0,00;0,00;
0,00;0,00;139,74;1,63;0,00;0,00;
0,00;0,00;139,83;1,66;0,00;0,00;
0,00;0,00;139,93;1,65;0,00;0,00;
0,00;0,00;140,02;1,63;0,00;0,00;
0,00;0,00;140,12;1,63;0,00;0,00;
0,00;0,00;140,22;1,61;0,00;0,00;
0,00;0,00;140,31;1,59;0,00;0,00;
0,00;0,00;140,41;1,58;0,00;0,00;
0,00;0,00;140,50;1,58;0,00;0,00;
0,00;0,00;140,60;1,57;0,00;0,00;
0,00;0,00;140,70;1,55;0,00;0,00;
0,00;0,00;140,79;1,56;0,00;0,00;
0,00;0,00;140,89;1,54;0,00;0,00;
0,00;0,00;140,99;1,53;0,00;0,00;
0,00;0,00;141,08;1,53;0,00;0,00;
0,00;0,00;141,18;1,53;0,00;0,00;
0,00;0,00;141,27;1,52;0,00;0,00;
0,00;0,00;141,37;1,52;0,00;0,00;
0,00;0,00;141,46;1,51;0,00;0,00;
0,00;0,00;141,56;1,52;0,00;0,00;
0,00;0,00;141,66;1,51;0,00;0,00;
0,00;0,00;141,75;1,50;0,00;0,00;
0,00;0,00;141,85;1,49;0,00;0,00;
0,00;0,00;141,94;1,50;0,00;0,00;
0,00;0,00;142,04;1,48;0,00;0,00;
0,00;0,00;142,14;1,50;0,00;0,00;
0,00;0,00;142,23;1,48;0,00;0,00;
0,00;0,00;142,33;1,49;0,00;0,00;
0,00;0,00;142,42;1,50;0,00;0,00;
0,00;0,00;142,52;1,51;0,00;0,00;
0,00;0,00;142,62;1,52;0,00;0,00;
0,00;0,00;142,71;1,51;0,00;0,00;
0,00;0,00;142,81;1,49;0,00;0,00;
0,00;0,00;142,90;1,52;0,00;0,00;
0,00;0,00;143,00;1,52;0,00;0,00;
0,00;0,00;143,10;1,52;0,00;0,00;
0,00;0,00;143,19;1,53;0,00;0,00;
0,00;0,00;143,29;1,55;0,00;0,00;
0,00;0,00;143,38;1,55;0,00;0,00;
0,00;0,00;143,48;1,55;0,00;0,00;
0,00;0,00;143,58;1,56;0,00;0,00;
0,00;0,00;143,67;1,58;0,00;0,00;
0,00;0,00;143,77;1,58;0,00;0,00;
0,00;0,00;143,86;1,58;0,00;0,00;
0,00;0,00;143,96;1,58;0,00;0,00;
0,00;0,00;144,05;1,58;0,00;0,00;
0,00;0,00;144,15;1,57;0,00;0,00;
0,00;0,00;144,25;1,58;0,00;0,00;
0,00;0,00;144,35;1,58;0,00;0,00;
0,00;0,00;144,44;1,58;0,00;0,00;
0,00;0,00;144,54;1,56;0,00;0,00;
0,00;0,00;144,63;1,56;0,00;0,00;
0,00;0,00;144,73;1,55;0,00;0,00;
0,00;0,00;144,83;1,55;0,00;0,00;
0,00;0,00;144,92;1,55;0,00;0,00;
0,00;0,00;145,02;1,53;0,00;0,00;
0,00;0,00;145,11;1,51;0,00;0,00;
0,00;0,00;145,21;1,51;0,00;0,00;
0,00;0,00;145,30;1,49;0,00;0,00;
0,00;0,00;145,40;1,50;0,00;0,00;
0,00;0,00;145,50;1,49;0,00;0,00;
0,00;0,00;145,59;1,46;0,00;0,00;
0,00;0,00;145,69;1,46;0,00;0,00;
0,00;0,00;145,78;1,44;0,00;0,00;
0,00;0,00;145,88;1,45;0,00;0,00;
0,00;0,00;145,98;1,44;0,00;0,00;
0,00;0,00;146,07;1,42;0,00;0,00;
0,00;0,00;146,17;1,42;0,00;0,00;
0,00;0,00;146,26;1,42;0,00;0,00;
0,00;0,00;146,36;1,41;0,00;0,00;
0,00;0,00;146,46;1,40;0,00;0,00;
0,00;0,00;146,55;1,40;0,00;0,00;
0,00;0,00;146,65;1,41;0,00;0,00;
0,00;0,00;146,75;1,40;0,00;0,00;
0,00;0,00;146,84;1,40;0,00;0,00;
0,00;0,00;146,94;1,40;0,00;0,00;
0,00;0,00;147,03;1,40;0,00;0,00;
0,00;0,00;147,13;1,41;0,00;0,00;
0,00;0,00;147,22;1,41;0,00;0,00;
0,00;0,00;147,32;1,42;0,00;0,00;
0,00;0,00;147,41;1,43;0,00;0,00;
0,00;0,00;147,51;1,46;0,00;0,00;
0,00;0,00;147,61;1,47;0,00;0,00;
0,00;0,00;147,70;1,49;0,00;0,00;
0,00;0,00;147,80;1,49;0,00;0,00;
0,00;0,00;147,90;1,51;0,00;0,00;
0,00;0,00;147,99;1,52;0,00;0,00;
0,00;0,00;148,09;1,54;0,00;0,00;
0,00;0,00;148,18;1,56;0,00;0,00;
0,00;0,00;148,28;1,58;0,00;0,00;
0,00;0,00;148,38;1,58;0,00;0,00;
0,00;0,00;148,47;1,61;0,00;0,00;
0,00;0,00;148,57;1,63;0,00;0,00;
0,00;0,00;148,66;1,63;0,00;0,00;
0,00;0,00;148,76;1,63;0,00;0,00;
0,00;0,00;148,85;1,66;0,00;0,00;
0,00;0,00;148,95;1,68;0,00;0,00;
0,00;0,00;149,05;1,69;0,00;0,00;
0,00;0,00;149,14;1,70;0,00;0,00;
0,00;0,00;149,24;1,70;0,00;0,00;
0,00;0,00;149,34;1,71;0,00;0,00;
0,00;0,00;149,43;1,71;0,00;0,00;
0,00;0,00;149,53;1,72;0,00;0,00;
0,00;0,00;149,62;1,72;0,00;0,00;
0,00;0,00;149,72;1,72;0,00;0,00;
0,00;0,00;149,82;1,72;0,00;0,00;
0,00;0,00;149,91;1,72;0,00;0,00;
0,00;0,00;150,01;1,72;0,00;0,00;
0,00;0,00;150,10;1,70;0,00;0,00;
0,00;0,00;150,20;1,69;0,00;0,00;
0,00;0,00;150,30;1,69;0,00;0,00;
0,00;0,00;150,39;1,68;0,00;0,00;
0,00;0,00;150,49;1,67;0,00;0,00;
0,00;0,00;150,58;1,66;0,00;0,00;
0,00;0,00;150,68;1,63;0,00;0,00;
0,00;0,00;150,78;1,61;0,00;0,00;
0,00;0,00;150,87;1,61;0,00;0,00;
0,00;0,00;150,97;1,59;0,00;0,00;
0,00;0,00;151,06;1,58;0,00;0,00;
0,00;0,00;151,16;1,56;0,00;0,00;
0,00;0,00;151,26;1,53;0,00;0,00;
0,00;0,00;151,35;1,52;0,00;0,00;
0,00;0,00;151,45;1,51;0,00;0,00;
0,00;0,00;151,54;1,49;0,00;0,00;
0,00;0,00;151,64;1,49;0,00;0,00;
0,00;0,00;151,74;1,46;0,00;0,00;
0,00;0,00;151,83;1,45;0,00;0,00;
0,00;0,00;151,93;1,45;0,00;0,00;
0,00;0,00;152,02;1,43;0,00;0,00;
0,00;0,00;152,12;1,42;0,00;0,00;
0,00;0,00;152,22;1,42;0,00;0,00;
0,00;0,00;152,31;1,42;0,00;0,00;
0,00;0,00;152,41;1,40;0,00;0,00;
0,00;0,00;152,50;1,41;0,00;0,00;
0,00;0,00;152,60;1,40;0,00;0,00;
0,00;0,00;152,70;1,40;0,00;0,00;
0,00;0,00;152,79;1,41;0,00;0,00;
0,00;0,00;152,89;1,43;0,00;0,00;
0,00;0,00;152,98;1,43;0,00;0,00;
0,00;0,00;153,08;1,45;0,00;0,00;
0,00;0,00;153,18;1,46;0,00;0,00;
0,00;0,00;153,27;1,46;0,00;0,00;
0,00;0,00;153,37;1,49;0,00;0,00;
0,00;0,00;153,46;1,50;0,00;0,00;
0,00;0,00;153,56;1,51;0,00;0,00;
0,00;0,00;153,65;1,51;0,00;0,00;
0,00;0,00;153,75;1,53;0,00;0,00;
0,00;0,00;153,85;1,54;0,00;0,00;
0,00;0,00;153,94;1,55;0,00;0,00;
0,00;0,00;154,04;1,57;0,00;0,00;
0,00;0,00;154,14;1,57;0,00;0,00;
0,00;0,00;154,23;1,58;0,00;0,00;
0,00;0,00;154,33;1,58;0,00;0,00;
0,00;0,00;154,42;1,58;0,00;0,00;
0,00;0,00;154,52;1,58;0,00;0,00;
0,00;0,00;154,61;1,58;0,00;0,00;
0,00;0,00;154,71;1,58;0,00;0,00;
0,00;0,00;154,81;1,58;0,00;0,00;
0,00;0,00;154,90;1,58;0,00;0,00;
0,00;0,00;155,00;1,58;0,00;0,00;
0,00;0,00;155,10;1,57;0,00;0,00;
0,00;0,00;155,19;1,56;0,00;0,00;
0,00;0,00;155,29;1,55;0,00;0,00;
0,00;0,00;155,38;1,55;0,00;0,00;
0,00;0,00;155,48;1,54;0,00;0,00;
0,00;0,00;155,58;1,54;0,00;0,00;
0,00;0,00;155,67;1,53;0,00;0,00;
0,00;0,00;155,77;1,52;0,00;0,00;
0,00;0,00;155,86;1,52;0,00;0,00;
0,00;0,00;155,96;1,52;0,00;0,00;
0,00;0,00;156,06;1,50;0,00;0,00;
0,00;0,00;156,15;1,51;0,00;0,00;
0,00;0,00;156,25;1,49;0,00;0,00;
0,00;0,00;156,35;1,49;0,00;0,00;
0,00;0,00;156,44;1,49;0,00;0,00;
0,00;0,00;156,54;1,49;0,00;0,00;
0,00;0,00;156,63;1,49;0,00;0,00;
0,00;0,00;156,73;1,47;0,00;0,00;
0,00;0,00;156,82;1,46;0,00;0,00;
0,00;0,00;156,92;1,47;0,00;0,00;
0,00;0,00;157,02;1,46;0,00;0,00;
0,00;0,00;157,11;1,47;0,00;0,00;
0,00;0,00;157,21;1,46;0,00;0,00;
0,00;0,00;157,30;1,45;0,00;0,00;
0,00;0,00;157,40;1,46;0,00;0,00;
0,00;0,00;157,49;1,46;0,00;0,00;
0,00;0,00;157,59;1,46;0,00;0,00;
0,00;0,00;157,69;1,46;0,00;0,00;
0,00;0,00;157,78;1,46;0,00;0,00;
0,00;0,00;157,88;1,46;0,00;0,00;
0,00;0,00;157,98;1,47;0,00;0,00;
0,00;0,00;158,07;1,47;0,00;0,00;
0,00;0,00;158,17;1,49;0,00;0,00;
0,00;0,00;158,26;1,49;0,00;0,00;
0,00;0,00;158,36;1,49;0,00;0,00;
0,00;0,00;158,46;1,50;0,00;0,00;
0,00;0,00;158,55;1,51;0,00;0,00;
0,00;0,00;158,65;1,53;0,00;0,00;
0,00;0,00;158,74;1,53;0,00;0,00;
0,00;0,00;158,84;1,53;0,00;0,00;
0,00;0,00;158,94;1,53;0,00;0,00;
0,00;0,00;159,03;1,55;0,00;0,00;
0,00;0,00;159,13;1,55;0,00;0,00;
0,00;0,00;159,22;1,55;0,00;0,00;
0,00;0,00;159,32;1,56;0,00;0,00;
0,00;0,00;159,42;1,57;0,00;0,00;
0,00;0,00;159,51;1,58;0,00;0,00;
0,00;0,00;159,61;1,58;0,00;0,00;
0,00;0,00;159,70;1,58;0,00;0,00;
0,00;0,00;159,80;1,58;0,00;0,00;
0,00;0,00;159,90;1,58;0,00;0,00;
0,00;0,00;159,99;1,58;0,00;0,00;
0,00;0,00;160,09;1,58;0,00;0,00;
0,00;0,00;160,18;1,58;0,00;0,00;
0,00;0,00;160,28;1,58;0,00;0,00;
0,00;0,00;160,38;1,85;0,00;0,00;
0,00;0,00;160,45;3,79;0,00;0,00;
0,00;0,00;160,52;6,08;0,00;0,00;
0,00;0,00;160,56;7,42;0,00;0,00;
0,00;0,00;160,57;7,67;0,00;0,00;
0,00;0,00;160,58;7,87;0,00;0,00;
0,00;0,00;160,58;8,03;0,00;0,00;
0,00;0,00;160,59;8,16;0,00;0,00;
0,00;0,00;160,59;8,26;0,00;0,00;
0,00;0,00;160,59;8,34;0,00;0,00;
0,00;0,00;160,60;8,39;0,00;0,00;
0,00;0,00;160,73;11,87;0,00;0,00;
0,00;0,00;160,85;17,72;0,00;0,00;
0,00;0,00;160,83;15,96;0,00;0,00;
0,00;0,00;160,86;17,26;0,00;0,00;
0,00;0,00;160,86;17,23;0,00;0,00;
