3610;08.09.20 08:19:22;21;Avvicinamento Pressata Finale;position < min position (11);20200907145715A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;263,48;0,04;0,00;0,00;
0,00;0,00;263,64;0,04;0,00;0,00;
0,00;0,00;263,80;0,04;0,00;0,00;
0,00;0,00;263,96;0,04;0,00;0,00;
0,00;0,00;264,12;0,04;0,00;0,00;
0,00;0,00;264,28;0,04;0,00;0,00;
0,00;0,00;264,44;0,04;0,00;0,00;
0,00;0,00;264,60;0,04;0,00;0,00;
0,00;0,00;264,76;0,04;0,00;0,00;
0,00;0,00;264,92;0,04;0,00;0,00;
0,00;0,00;265,08;0,04;0,00;0,00;
0,00;0,00;265,24;0,04;0,00;0,00;
0,00;0,00;265,40;0,04;0,00;0,00;
0,00;0,00;265,56;0,04;0,00;0,00;
0,00;0,00;265,72;0,04;0,00;0,00;
0,00;0,00;265,88;0,04;0,00;0,00;
0,00;0,00;266,04;0,04;0,00;0,00;
0,00;0,00;266,20;0,04;0,00;0,00;
0,00;0,00;266,36;0,04;0,00;0,00;
0,00;0,00;266,52;0,04;0,00;0,00;
0,00;0,00;266,68;0,04;0,00;0,00;
0,00;0,00;266,84;0,04;0,00;0,00;
0,00;0,00;267,00;0,04;0,00;0,00;
0,00;0,00;267,16;0,04;0,00;0,00;
0,00;0,00;267,32;0,04;0,00;0,00;
0,00;0,00;267,48;0,04;0,00;0,00;
0,00;0,00;267,64;0,04;0,00;0,00;
0,00;0,00;267,80;0,04;0,00;0,00;
0,00;0,00;267,96;0,04;0,00;0,00;
0,00;0,00;268,12;0,04;0,00;0,00;
0,00;0,00;268,28;0,04;0,00;0,00;
0,00;0,00;268,44;0,04;0,00;0,00;
0,00;0,00;268,60;0,04;0,00;0,00;
0,00;0,00;268,76;0,04;0,00;0,00;
0,00;0,00;268,92;0,04;0,00;0,00;
0,00;0,00;269,08;0,04;0,00;0,00;
0,00;0,00;269,24;0,04;0,00;0,00;
0,00;0,00;269,40;0,04;0,00;0,00;
0,00;0,00;269,56;0,04;0,00;0,00;
0,00;0,00;269,72;0,04;0,00;0,00;
0,00;0,00;269,88;0,04;0,00;0,00;
0,00;0,00;270,04;0,04;0,00;0,00;
0,00;0,00;270,20;0,04;0,00;0,00;
0,00;0,00;270,36;0,04;0,00;0,00;
0,00;0,00;270,52;0,04;0,00;0,00;
0,00;0,00;270,68;0,04;0,00;0,00;
0,00;0,00;270,84;0,04;0,00;0,00;
0,00;0,00;271,00;0,04;0,00;0,00;
0,00;0,00;271,16;0,04;0,00;0,00;
