3688;10.09.20 16:10:16;21;Avvicinamento Pressata Finale;force > max. force (8);20200908095506A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;240,32;0,04;0,00;0,00;
0,00;0,00;240,48;0,08;0,00;0,00;
0,00;0,00;240,64;0,12;0,00;0,00;
0,00;0,00;240,80;0,04;0,00;0,00;
0,00;0,00;240,96;0,08;0,00;0,00;
0,00;0,00;241,12;0,04;0,00;0,00;
0,00;0,00;241,28;0,08;0,00;0,00;
0,00;0,00;241,44;0,12;0,00;0,00;
0,00;0,00;241,60;0,08;0,00;0,00;
0,00;0,00;241,92;0,08;0,00;0,00;
0,00;0,00;242,08;0,08;0,00;0,00;
0,00;0,00;242,24;0,08;0,00;0,00;
0,00;0,00;242,56;0,04;0,00;0,00;
0,00;0,00;242,72;0,04;0,00;0,00;
0,00;0,00;243,04;0,12;0,00;0,00;
0,00;0,00;243,20;0,04;0,00;0,00;
0,00;0,00;243,52;0,04;0,00;0,00;
0,00;0,00;243,68;0,04;0,00;0,00;
0,00;0,00;244,00;0,08;0,00;0,00;
0,00;0,00;244,16;0,04;0,00;0,00;
0,00;0,00;244,32;0,08;0,00;0,00;
0,00;0,00;244,48;0,08;0,00;0,00;
0,00;0,00;244,64;0,04;0,00;0,00;
0,00;0,00;244,80;0,08;0,00;0,00;
0,00;0,00;245,12;0,12;0,00;0,00;
0,00;0,00;245,28;0,08;0,00;0,00;
0,00;0,00;245,44;0,08;0,00;0,00;
0,00;0,00;245,60;0,04;0,00;0,00;
0,00;0,00;245,76;0,04;0,00;0,00;
0,00;0,00;245,92;0,08;0,00;0,00;
0,00;0,00;246,08;0,08;0,00;0,00;
0,00;0,00;246,24;0,08;0,00;0,00;
0,00;0,00;246,56;0,08;0,00;0,00;
0,00;0,00;246,72;0,08;0,00;0,00;
0,00;0,00;246,88;0,08;0,00;0,00;
0,00;0,00;247,04;0,08;0,00;0,00;
0,00;0,00;247,20;0,08;0,00;0,00;
0,00;0,00;247,36;0,04;0,00;0,00;
0,00;0,00;247,52;0,04;0,00;0,00;
0,00;0,00;247,68;0,12;0,00;0,00;
0,00;0,00;247,84;0,08;0,00;0,00;
0,00;0,00;248,00;0,04;0,00;0,00;
0,00;0,00;248,16;0,08;0,00;0,00;
0,00;0,00;248,32;0,04;0,00;0,00;
0,00;0,00;248,48;0,08;0,00;0,00;
0,00;0,00;248,64;0,04;0,00;0,00;
0,00;0,00;248,80;0,04;0,00;0,00;
0,00;0,00;249,28;0,04;0,00;0,00;
0,00;0,00;249,60;0,04;0,00;0,00;
0,00;0,00;250,08;0,08;0,00;0,00;
0,00;0,00;250,56;0,08;0,00;0,00;
0,00;0,00;251,04;0,04;0,00;0,00;
0,00;0,00;251,36;0,08;0,00;0,00;
0,00;0,00;251,68;0,08;0,00;0,00;
0,00;0,00;251,84;0,08;0,00;0,00;
0,00;0,00;252,00;0,04;0,00;0,00;
0,00;0,00;252,32;0,12;0,00;0,00;
0,00;0,00;252,48;0,12;0,00;0,00;
0,00;0,00;252,64;0,04;0,00;0,00;
0,00;0,00;252,96;0,12;0,00;0,00;
0,00;0,00;253,12;0,08;0,00;0,00;
0,00;0,00;253,28;0,08;0,00;0,00;
0,00;0,00;253,44;0,08;0,00;0,00;
0,00;0,00;253,76;0,04;0,00;0,00;
0,00;0,00;253,92;0,04;0,00;0,00;
0,00;0,00;254,08;0,08;0,00;0,00;
0,00;0,00;254,24;0,08;0,00;0,00;
0,00;0,00;254,56;0,04;0,00;0,00;
0,00;0,00;254,72;0,12;0,00;0,00;
0,00;0,00;254,88;0,12;0,00;0,00;
0,00;0,00;255,04;0,04;0,00;0,00;
0,00;0,00;255,20;0,04;0,00;0,00;
0,00;0,00;255,36;0,04;0,00;0,00;
0,00;0,00;255,52;0,04;0,00;0,00;
0,00;0,00;255,68;0,12;0,00;0,00;
0,00;0,00;255,84;0,04;0,00;0,00;
0,00;0,00;256,00;0,08;0,00;0,00;
0,00;0,00;256,16;0,12;0,00;0,00;
0,00;0,00;256,32;0,08;0,00;0,00;
0,00;0,00;256,48;0,08;0,00;0,00;
0,00;0,00;256,64;0,12;0,00;0,00;
0,00;0,00;256,80;0,04;0,00;0,00;
0,00;0,00;256,96;0,08;0,00;0,00;
0,00;0,00;257,12;0,08;0,00;0,00;
0,00;0,00;257,28;0,04;0,00;0,00;
0,00;0,00;257,44;0,08;0,00;0,00;
0,00;0,00;257,60;0,04;0,00;0,00;
0,00;0,00;257,92;0,08;0,00;0,00;
0,00;0,00;258,08;0,08;0,00;0,00;
0,00;0,00;258,40;0,08;0,00;0,00;
0,00;0,00;258,56;0,08;0,00;0,00;
0,00;0,00;258,72;0,04;0,00;0,00;
0,00;0,00;258,88;0,04;0,00;0,00;
0,00;0,00;259,04;0,08;0,00;0,00;
0,00;0,00;259,20;0,08;0,00;0,00;
0,00;0,00;259,36;0,08;0,00;0,00;
0,00;0,00;259,52;0,04;0,00;0,00;
0,00;0,00;259,68;0,08;0,00;0,00;
0,00;0,00;259,84;0,04;0,00;0,00;
0,00;0,00;260,32;0,08;0,00;0,00;
0,00;0,00;260,48;0,12;0,00;0,00;
0,00;0,00;260,96;0,08;0,00;0,00;
0,00;0,00;261,28;0,08;0,00;0,00;
0,00;0,00;261,44;0,04;0,00;0,00;
0,00;0,00;261,60;0,04;0,00;0,00;
0,00;0,00;261,76;0,08;0,00;0,00;
0,00;0,00;261,92;0,08;0,00;0,00;
0,00;0,00;262,08;0,04;0,00;0,00;
0,00;0,00;262,24;0,04;0,00;0,00;
0,00;0,00;262,40;0,08;0,00;0,00;
0,00;0,00;262,56;0,04;0,00;0,00;
0,00;0,00;262,72;0,04;0,00;0,00;
0,00;0,00;262,88;0,08;0,00;0,00;
0,00;0,00;263,04;0,04;0,00;0,00;
0,00;0,00;263,20;0,08;0,00;0,00;
0,00;0,00;263,36;0,04;0,00;0,00;
0,00;0,00;263,52;0,04;0,00;0,00;
0,00;0,00;263,68;0,08;0,00;0,00;
0,00;0,00;263,84;0,12;0,00;0,00;
0,00;0,00;264,00;0,04;0,00;0,00;
0,00;0,00;264,32;0,04;0,00;0,00;
0,00;0,00;264,48;0,12;0,00;0,00;
0,00;0,00;264,64;0,12;0,00;0,00;
0,00;0,00;264,80;0,04;0,00;0,00;
0,00;0,00;265,12;0,08;0,00;0,00;
0,00;0,00;265,28;0,12;0,00;0,00;
0,00;0,00;265,44;0,04;0,00;0,00;
0,00;0,00;265,60;0,12;0,00;0,00;
0,00;0,00;265,92;0,04;0,00;0,00;
0,00;0,00;266,08;0,04;0,00;0,00;
0,00;0,00;266,24;0,12;0,00;0,00;
0,00;0,00;266,40;0,04;0,00;0,00;
0,00;0,00;266,56;0,08;0,00;0,00;
0,00;0,00;266,72;0,08;0,00;0,00;
0,00;0,00;267,04;0,08;0,00;0,00;
0,00;0,00;267,20;0,04;0,00;0,00;
0,00;0,00;267,36;0,08;0,00;0,00;
0,00;0,00;267,52;0,04;0,00;0,00;
0,00;0,00;267,68;0,12;0,00;0,00;
0,00;0,00;267,84;0,04;0,00;0,00;
0,00;0,00;268,00;0,08;0,00;0,00;
0,00;0,00;268,32;0,04;0,00;0,00;
0,00;0,00;268,48;0,08;0,00;0,00;
0,00;0,00;268,80;0,08;0,00;0,00;
0,00;0,00;268,96;0,04;0,00;0,00;
0,00;0,00;269,12;0,04;0,00;0,00;
0,00;0,00;269,28;0,04;0,00;0,00;
0,00;0,00;269,44;0,04;0,00;0,00;
0,00;0,00;269,60;0,04;0,00;0,00;
0,00;0,00;269,92;0,04;0,00;0,00;
0,00;0,00;270,08;0,17;0,00;0,00;
0,00;0,00;270,24;1,78;0,00;0,00;
0,00;0,00;270,37;8,25;0,00;0,00;
0,00;0,00;270,49;15,65;0,00;0,00;
0,00;0,00;270,62;24,30;0,00;0,00;
0,00;0,00;270,64;26,13;0,00;0,00;
0,00;0,00;270,65;26,78;0,00;0,00;
0,00;0,00;270,66;27,31;0,00;0,00;
0,00;0,00;270,67;28,22;0,00;0,00;
0,00;0,00;270,69;29,01;0,00;0,00;
0,00;0,00;270,69;29,48;0,00;0,00;
0,00;0,00;270,70;29,70;0,00;0,00;
0,00;0,00;270,70;29,74;0,00;0,00;
0,00;0,00;270,70;30,09;0,00;0,00;
0,00;0,00;270,71;30,35;0,00;0,00;
0,00;0,00;270,71;30,61;0,00;0,00;
0,00;0,00;270,71;30,78;0,00;0,00;
0,00;0,00;270,71;30,78;0,00;0,00;
0,00;0,00;270,72;30,78;0,00;0,00;
0,00;0,00;270,72;30,83;0,00;0,00;
0,00;0,00;270,72;30,92;0,00;0,00;
0,00;0,00;270,72;30,83;0,00;0,00;
0,00;0,00;270,72;30,96;0,00;0,00;
0,00;0,00;270,72;30,96;0,00;0,00;
0,00;0,00;270,72;30,96;0,00;0,00;
0,00;0,00;270,72;30,96;0,00;0,00;
0,00;0,00;270,72;30,96;0,00;0,00;
