23813;06.07.21 10:59:32;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);20210705081019P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;148,62;0,02;0,00;0,00;
0,00;0,00;148,70;0,03;0,00;0,00;
0,00;0,00;148,79;0,03;0,00;0,00;
0,00;0,00;148,86;0,03;0,00;0,00;
0,00;0,00;148,94;0,03;0,00;0,00;
0,00;0,00;149,02;0,03;0,00;0,00;
0,00;0,00;149,10;0,03;0,00;0,00;
0,00;0,00;149,19;0,03;0,00;0,00;
0,00;0,00;149,26;0,03;0,00;0,00;
0,00;0,00;149,34;0,03;0,00;0,00;
0,00;0,00;149,42;0,03;0,00;0,00;
0,00;0,00;149,50;0,03;0,00;0,00;
0,00;0,00;149,58;0,03;0,00;0,00;
0,00;0,00;149,66;0,03;0,00;0,00;
0,00;0,00;149,75;0,03;0,00;0,00;
0,00;0,00;149,83;0,03;0,00;0,00;
0,00;0,00;149,90;0,03;0,00;0,00;
0,00;0,00;149,98;0,03;0,00;0,00;
0,00;0,00;150,07;0,03;0,00;0,00;
0,00;0,00;150,14;0,03;0,00;0,00;
0,00;0,00;150,22;0,11;0,00;0,00;
0,00;0,00;150,30;0,14;0,00;0,00;
0,00;0,00;150,38;0,18;0,00;0,00;
0,00;0,00;150,46;0,20;0,00;0,00;
0,00;0,00;150,54;0,20;0,00;0,00;
0,00;0,00;150,62;0,20;0,00;0,00;
0,00;0,00;150,70;0,20;0,00;0,00;
0,00;0,00;150,78;0,23;0,00;0,00;
0,00;0,00;150,86;0,23;0,00;0,00;
0,00;0,00;150,94;0,23;0,00;0,00;
0,00;0,00;151,03;0,23;0,00;0,00;
0,00;0,00;151,11;0,23;0,00;0,00;
0,00;0,00;151,18;0,23;0,00;0,00;
0,00;0,00;151,26;0,21;0,00;0,00;
0,00;0,00;151,34;0,23;0,00;0,00;
0,00;0,00;151,43;0,23;0,00;0,00;
0,00;0,00;151,50;0,23;0,00;0,00;
0,00;0,00;151,58;0,23;0,00;0,00;
0,00;0,00;151,67;0,23;0,00;0,00;
0,00;0,00;151,75;0,24;0,00;0,00;
0,00;0,00;151,82;0,25;0,00;0,00;
0,00;0,00;151,90;0,26;0,00;0,00;
0,00;0,00;151,98;0,26;0,00;0,00;
0,00;0,00;152,06;0,26;0,00;0,00;
0,00;0,00;152,14;0,26;0,00;0,00;
0,00;0,00;152,23;0,27;0,00;0,00;
0,00;0,00;152,30;0,28;0,00;0,00;
0,00;0,00;152,38;0,29;0,00;0,00;
0,00;0,00;152,46;0,30;0,00;0,00;
0,00;0,00;152,55;0,29;0,00;0,00;
0,00;0,00;152,62;0,31;0,00;0,00;
0,00;0,00;152,70;0,29;0,00;0,00;
0,00;0,00;152,78;0,32;0,00;0,00;
0,00;0,00;152,86;0,31;0,00;0,00;
0,00;0,00;152,95;0,32;0,00;0,00;
0,00;0,00;153,02;0,31;0,00;0,00;
0,00;0,00;153,10;0,32;0,00;0,00;
0,00;0,00;153,18;0,32;0,00;0,00;
0,00;0,00;153,26;0,32;0,00;0,00;
0,00;0,00;153,34;0,33;0,00;0,00;
0,00;0,00;153,42;0,33;0,00;0,00;
0,00;0,00;153,51;0,32;0,00;0,00;
0,00;0,00;153,59;0,33;0,00;0,00;
0,00;0,00;153,66;0,34;0,00;0,00;
0,00;0,00;153,74;0,34;0,00;0,00;
0,00;0,00;153,83;0,34;0,00;0,00;
0,00;0,00;153,91;0,34;0,00;0,00;
0,00;0,00;153,98;0,34;0,00;0,00;
0,00;0,00;154,06;0,34;0,00;0,00;
0,00;0,00;154,15;0,34;0,00;0,00;
0,00;0,00;154,23;0,35;0,00;0,00;
0,00;0,00;154,30;0,35;0,00;0,00;
0,00;0,00;154,38;0,37;0,00;0,00;
0,00;0,00;154,46;0,37;0,00;0,00;
0,00;0,00;154,54;0,38;0,00;0,00;
0,00;0,00;154,62;0,38;0,00;0,00;
0,00;0,00;154,70;0,38;0,00;0,00;
0,00;0,00;154,79;0,41;0,00;0,00;
0,00;0,00;154,87;0,41;0,00;0,00;
0,00;0,00;154,94;0,41;0,00;0,00;
0,00;0,00;155,02;0,41;0,00;0,00;
0,00;0,00;155,10;0,41;0,00;0,00;
0,00;0,00;155,18;0,42;0,00;0,00;
0,00;0,00;155,26;0,43;0,00;0,00;
0,00;0,00;155,34;0,43;0,00;0,00;
0,00;0,00;155,42;0,44;0,00;0,00;
0,00;0,00;155,50;0,44;0,00;0,00;
0,00;0,00;155,58;0,44;0,00;0,00;
0,00;0,00;155,66;0,44;0,00;0,00;
0,00;0,00;155,74;0,41;0,00;0,00;
0,00;0,00;155,82;0,39;0,00;0,00;
0,00;0,00;155,91;0,35;0,00;0,00;
0,00;0,00;155,99;0,04;0,00;0,00;
0,00;0,00;156,07;0,04;0,00;0,00;
0,00;0,00;156,15;0,03;0,00;0,00;
0,00;0,00;156,22;0,02;0,00;0,00;
0,00;0,00;156,31;0,03;0,00;0,00;
0,00;0,00;156,38;0,03;0,00;0,00;
0,00;0,00;156,40;0,06;0,00;0,00;
0,00;0,00;156,40;0,06;0,00;0,00;
0,00;0,00;156,40;0,06;0,00;0,00;
0,00;0,00;156,39;0,06;0,00;0,00;
0,00;0,00;156,39;0,06;0,00;0,00;
0,00;0,00;156,39;0,06;0,00;0,00;
0,00;0,00;156,39;0,06;0,00;0,00;
0,00;0,00;156,39;0,05;0,00;0,00;
0,00;0,00;156,39;0,06;0,00;0,00;
0,00;0,00;156,39;0,04;0,00;0,00;
0,00;0,00;156,39;0,04;0,00;0,00;
0,00;0,00;156,39;0,03;0,00;0,00;
0,00;0,00;156,39;0,04;0,00;0,00;
