1957;12.05.20 14:07:27;22;Avvicinamento pre-pressata pressata Fuori Ingombro;position > max position (10);20200508123936P0043;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;156,51;2,73;0,00;0,00;
0,00;0,00;156,67;2,78;0,00;0,00;
0,00;0,00;156,83;2,80;0,00;0,00;
0,00;0,00;156,99;2,93;0,00;0,00;
0,00;0,00;157,15;3,05;0,00;0,00;
0,00;0,00;157,31;3,05;0,00;0,00;
0,00;0,00;157,47;3,07;0,00;0,00;
0,00;0,00;157,63;3,16;0,00;0,00;
0,00;0,00;157,79;3,25;0,00;0,00;
0,00;0,00;157,95;3,34;0,00;0,00;
0,00;0,00;158,11;3,44;0,00;0,00;
0,00;0,00;158,27;3,45;0,00;0,00;
0,00;0,00;158,43;3,52;0,00;0,00;
0,00;0,00;158,59;3,61;0,00;0,00;
0,00;0,00;158,75;3,71;0,00;0,00;
0,00;0,00;158,84;3,21;0,00;0,00;
0,00;0,00;158,86;3,14;0,00;0,00;
0,00;0,00;158,86;2,93;0,00;0,00;
0,00;0,00;158,86;2,71;0,00;0,00;
0,00;0,00;158,86;2,66;0,00;0,00;
0,00;0,00;158,86;2,62;0,00;0,00;
0,00;0,00;158,86;2,62;0,00;0,00;
0,00;0,00;158,86;2,60;0,00;0,00;
0,00;0,00;158,86;2,58;0,00;0,00;
0,00;0,00;158,86;2,53;0,00;0,00;
0,00;0,00;158,86;2,53;0,00;0,00;
0,00;0,00;158,86;2,46;0,00;0,00;
