2499;17.12.19 14:07:39;21;Avvicinamento Pressata Finale;Alcun errore (0);20191216144746;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;264,04;4,26;0,00;0,00;
0,00;0,00;264,20;4,39;0,00;0,00;
0,00;0,00;264,36;4,39;0,00;0,00;
0,00;0,00;264,52;4,22;0,00;0,00;
0,00;0,00;264,68;4,30;0,00;0,00;
0,00;0,00;264,84;4,47;0,00;0,00;
0,00;0,00;265,00;4,52;0,00;0,00;
0,00;0,00;265,16;4,43;0,00;0,00;
0,00;0,00;265,32;4,39;0,00;0,00;
0,00;0,00;265,48;4,52;0,00;0,00;
0,00;0,00;265,64;4,56;0,00;0,00;
0,00;0,00;265,80;4,61;0,00;0,00;
0,00;0,00;265,96;4,47;0,00;0,00;
0,00;0,00;266,12;4,65;0,00;0,00;
0,00;0,00;266,28;4,82;0,00;0,00;
0,00;0,00;266,44;4,78;0,00;0,00;
0,00;0,00;266,60;4,74;0,00;0,00;
0,00;0,00;266,76;4,74;0,00;0,00;
0,00;0,00;266,92;4,91;0,00;0,00;
0,00;0,00;267,08;4,95;0,00;0,00;
0,00;0,00;267,24;4,95;0,00;0,00;
0,00;0,00;267,40;4,82;0,00;0,00;
0,00;0,00;267,56;4,91;0,00;0,00;
0,00;0,00;267,72;5,13;0,00;0,00;
0,00;0,00;267,88;5,09;0,00;0,00;
0,00;0,00;268,03;5,00;0,00;0,00;
0,00;0,00;268,20;5,00;0,00;0,00;
0,00;0,00;268,36;5,18;0,00;0,00;
0,00;0,00;268,52;5,30;0,00;0,00;
0,00;0,00;268,68;5,21;0,00;0,00;
0,00;0,00;268,84;5,13;0,00;0,00;
0,00;0,00;269,00;5,26;0,00;0,00;
0,00;0,00;269,16;5,52;0,00;0,00;
0,00;0,00;269,32;5,65;0,00;0,00;
0,00;0,00;269,48;5,57;0,00;0,00;
0,00;0,00;269,63;5,66;0,00;0,00;
0,00;0,00;269,79;5,87;0,00;0,00;
0,00;0,00;269,96;5,96;0,00;0,00;
0,00;0,00;270,12;6,04;0,00;0,00;
0,00;0,00;270,28;6,04;0,00;0,00;
0,00;0,00;270,44;6,13;0,00;0,00;
0,00;0,00;270,60;6,31;0,00;0,00;
0,00;0,00;270,76;6,39;0,00;0,00;
0,00;0,00;270,92;6,26;0,00;0,00;
0,00;0,00;271,08;6,31;0,00;0,00;
0,00;0,00;271,24;6,48;0,00;0,00;
0,00;0,00;271,40;6,70;0,00;0,00;
0,00;0,00;271,56;6,65;0,00;0,00;
0,00;0,00;271,72;6,52;0,00;0,00;
0,00;0,00;271,88;6,70;0,00;0,00;
0,00;0,00;272,04;6,87;0,00;0,00;
0,00;0,00;272,20;7,00;0,00;0,00;
0,00;0,00;272,36;6,91;0,00;0,00;
0,00;0,00;272,52;6,87;0,00;0,00;
0,00;0,00;272,68;7,13;0,00;0,00;
0,00;0,00;272,84;7,26;0,00;0,00;
0,00;0,00;272,99;7,35;0,00;0,00;
0,00;0,00;273,15;7,22;0,00;0,00;
0,00;0,00;273,32;7,35;0,00;0,00;
0,00;0,00;273,48;7,56;0,00;0,00;
0,00;0,00;273,64;7,56;0,00;0,00;
0,00;0,00;273,80;7,52;0,00;0,00;
0,00;0,00;273,95;7,57;0,00;0,00;
0,00;0,00;274,12;7,74;0,00;0,00;
0,00;0,00;274,28;7,87;0,00;0,00;
0,00;0,00;274,44;7,83;0,00;0,00;
0,00;0,00;274,60;7,74;0,00;0,00;
0,00;0,00;274,76;7,87;0,00;0,00;
0,00;0,00;274,92;8,04;0,00;0,00;
0,00;0,00;275,08;8,09;0,00;0,00;
0,00;0,00;275,24;8,00;0,00;0,00;
0,00;0,00;275,40;8,04;0,00;0,00;
0,00;0,00;275,55;8,26;0,00;0,00;
0,00;0,00;275,72;8,35;0,00;0,00;
0,00;0,00;275,88;8,34;0,00;0,00;
0,00;0,00;276,04;8,31;0,00;0,00;
0,00;0,00;276,20;8,43;0,00;0,00;
0,00;0,00;276,36;8,61;0,00;0,00;
0,00;0,00;276,52;8,61;0,00;0,00;
0,00;0,00;276,68;8,48;0,00;0,00;
0,00;0,00;276,84;8,61;0,00;0,00;
0,00;0,00;277,00;8,87;0,00;0,00;
0,00;0,00;277,16;8,96;0,00;0,00;
0,00;0,00;277,31;8,87;0,00;0,00;
0,00;0,00;277,48;8,82;0,00;0,00;
0,00;0,00;277,64;9,00;0,00;0,00;
0,00;0,00;277,80;9,21;0,00;0,00;
0,00;0,00;277,96;9,13;0,00;0,00;
0,00;0,00;278,11;9,13;0,00;0,00;
0,00;0,00;278,28;9,21;0,00;0,00;
0,00;0,00;278,44;9,44;0,00;0,00;
0,00;0,00;278,60;9,44;0,00;0,00;
0,00;0,00;278,76;9,47;0,00;0,00;
0,00;0,00;278,91;9,47;0,00;0,00;
0,00;0,00;279,08;9,65;0,00;0,00;
0,00;0,00;279,24;9,87;0,00;0,00;
0,00;0,00;279,40;9,78;0,00;0,00;
0,00;0,00;279,56;9,78;0,00;0,00;
0,00;0,00;279,71;9,95;0,00;0,00;
0,00;0,00;279,88;10,13;0,00;0,00;
0,00;0,00;280,04;10,31;0,00;0,00;
0,00;0,00;280,20;10,34;0,00;0,00;
0,00;0,00;280,36;10,31;0,00;0,00;
0,00;0,00;280,51;10,57;0,00;0,00;
0,00;0,00;280,67;10,70;0,00;0,00;
0,00;0,00;280,84;10,78;0,00;0,00;
0,00;0,00;281,00;10,74;0,00;0,00;
0,00;0,00;281,16;10,82;0,00;0,00;
0,00;0,00;281,31;11,05;0,00;0,00;
0,00;0,00;281,47;11,26;0,00;0,00;
0,00;0,00;281,64;11,18;0,00;0,00;
0,00;0,00;281,80;11,18;0,00;0,00;
0,00;0,00;281,96;11,39;0,00;0,00;
0,00;0,00;282,12;11,61;0,00;0,00;
0,00;0,00;282,27;11,96;0,00;0,00;
0,00;0,00;282,43;15,17;0,00;0,00;
0,00;0,00;282,55;23,05;0,00;0,00;
0,00;0,00;282,56;24,26;0,00;0,00;
0,00;0,00;282,56;24,49;0,00;0,00;
0,00;0,00;282,57;24,70;0,00;0,00;
0,00;0,00;282,57;25,01;0,00;0,00;
0,00;0,00;282,58;25,31;0,00;0,00;
0,00;0,00;282,58;25,66;0,00;0,00;
0,00;0,00;282,59;25,92;0,00;0,00;
0,00;0,00;282,59;26,05;0,00;0,00;
0,00;0,00;282,59;26,22;0,00;0,00;
0,00;0,00;282,59;26,27;0,00;0,00;
0,00;0,00;282,54;25,14;0,00;0,00;
0,00;0,00;282,08;2,30;0,00;0,00;
0,00;0,00;281,05;-0,04;0,00;0,00;
0,00;0,00;279,45;-0,04;0,00;0,00;
0,00;0,00;277,35;0,04;0,00;0,00;
0,00;0,00;272,62;-0,09;0,00;0,00;
0,00;0,00;270,19;-0,09;0,00;0,00;
0,00;0,00;267,79;-0,04;0,00;0,00;
0,00;0,00;265,39;0,04;0,00;0,00;
0,00;0,00;262,98;-0,04;0,00;0,00;
0,00;0,00;260,58;-0,09;0,00;0,00;
0,00;0,00;258,18;0,04;0,00;0,00;
0,00;0,00;253,38;0,04;0,00;0,00;
0,00;0,00;248,58;-0,04;0,00;0,00;
0,00;0,00;246,18;-0,04;0,00;0,00;
0,00;0,00;243,78;-0,04;0,00;0,00;
0,00;0,00;241,38;-0,04;0,00;0,00;
0,00;0,00;238,98;0,04;0,00;0,00;
0,00;0,00;236,58;-0,04;0,00;0,00;
0,00;0,00;234,18;-0,04;0,00;0,00;
0,00;0,00;231,78;0,04;0,00;0,00;
0,00;0,00;226,98;0,04;0,00;0,00;
0,00;0,00;222,18;-0,09;0,00;0,00;
0,00;0,00;212,58;0,04;0,00;0,00;
0,00;0,00;210,18;-0,04;0,00;0,00;
0,00;0,00;207,78;-0,04;0,00;0,00;
0,00;0,00;205,38;0,09;0,00;0,00;
0,00;0,00;202,98;-0,04;0,00;0,00;
0,00;0,00;193,38;0,04;0,00;0,00;
0,00;0,00;190,98;-0,04;0,00;0,00;
0,00;0,00;188,58;0,04;0,00;0,00;
0,00;0,00;181,38;0,04;0,00;0,00;
0,00;0,00;178,98;0,04;0,00;0,00;
0,00;0,00;169,38;0,04;0,00;0,00;
0,00;0,00;166,98;0,04;0,00;0,00;
0,00;0,00;162,18;-0,04;0,00;0,00;
0,00;0,00;152,58;0,04;0,00;0,00;
0,00;0,00;150,18;-0,04;0,00;0,00;
0,00;0,00;145,38;0,09;0,00;0,00;
0,00;0,00;142,98;-0,04;0,00;0,00;
0,00;0,00;138,18;0,04;0,00;0,00;
0,00;0,00;133,38;0,04;0,00;0,00;
0,00;0,00;130,98;-0,04;0,00;0,00;
0,00;0,00;126,18;0,04;0,00;0,00;
0,00;0,00;121,38;0,04;0,00;0,00;
0,00;0,00;118,98;0,04;0,00;0,00;
0,00;0,00;116,58;-0,04;0,00;0,00;
0,00;0,00;114,18;-0,04;0,00;0,00;
0,00;0,00;111,78;0,04;0,00;0,00;
0,00;0,00;106,98;0,04;0,00;0,00;
0,00;0,00;97,38;0,04;0,00;0,00;
0,00;0,00;94,98;0,04;0,00;0,00;
0,00;0,00;92,58;0,04;0,00;0,00;
0,00;0,00;90,18;-0,04;0,00;0,00;
