Nr;Date;ProgNr;ProgName;State;
3675;03.02.20 10:46:22;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;169,53;0,30;0,00;0,00;
0,00;0,00;169,69;0,16;0,00;0,00;
0,00;0,00;169,85;0,22;0,00;0,00;
0,00;0,00;170,01;0,30;0,00;0,00;
0,00;0,00;170,17;0,22;0,00;0,00;
0,00;0,00;170,33;0,22;0,00;0,00;
0,00;0,00;170,49;0,45;0,00;0,00;
0,00;0,00;170,65;0,22;0,00;0,00;
0,00;0,00;170,81;0,22;0,00;0,00;
0,00;0,00;170,97;0,22;0,00;0,00;
0,00;0,00;171,13;0,22;0,00;0,00;
0,00;0,00;171,29;0,30;0,00;0,00;
0,00;0,00;171,45;0,16;0,00;0,00;
0,00;0,00;171,61;0,22;0,00;0,00;
0,00;0,00;171,77;0,22;0,00;0,00;
0,00;0,00;171,93;0,30;0,00;0,00;
0,00;0,00;172,09;0,30;0,00;0,00;
0,00;0,00;172,25;0,16;0,00;0,00;
0,00;0,00;172,41;0,30;0,00;0,00;
0,00;0,00;172,57;0,22;0,00;0,00;
0,00;0,00;172,73;0,22;0,00;0,00;
0,00;0,00;172,89;0,22;0,00;0,00;
0,00;0,00;173,05;0,22;0,00;0,00;
0,00;0,00;173,21;0,30;0,00;0,00;
0,00;0,00;173,37;0,16;0,00;0,00;
0,00;0,00;173,53;0,16;0,00;0,00;
0,00;0,00;173,69;0,30;0,00;0,00;
0,00;0,00;173,85;0,16;0,00;0,00;
0,00;0,00;174,01;0,30;0,00;0,00;
0,00;0,00;174,17;0,22;0,00;0,00;
0,00;0,00;174,33;0,16;0,00;0,00;
0,00;0,00;174,49;0,16;0,00;0,00;
0,00;0,00;174,65;0,30;0,00;0,00;
0,00;0,00;174,81;0,22;0,00;0,00;
0,00;0,00;174,97;0,16;0,00;0,00;
0,00;0,00;175,13;0,16;0,00;0,00;
0,00;0,00;175,29;0,22;0,00;0,00;
0,00;0,00;175,45;0,22;0,00;0,00;
0,00;0,00;175,61;0,22;0,00;0,00;
0,00;0,00;175,77;0,22;0,00;0,00;
0,00;0,00;175,93;0,37;0,00;0,00;
0,00;0,00;176,09;0,22;0,00;0,00;
0,00;0,00;176,25;0,30;0,00;0,00;
0,00;0,00;176,41;0,16;0,00;0,00;
0,00;0,00;176,57;0,22;0,00;0,00;
0,00;0,00;176,73;0,22;0,00;0,00;
0,00;0,00;176,89;0,37;0,00;0,00;
0,00;0,00;177,05;0,37;0,00;0,00;
0,00;0,00;177,21;0,22;0,00;0,00;
0,00;0,00;177,37;0,16;0,00;0,00;
0,00;0,00;177,53;0,22;0,00;0,00;
0,00;0,00;177,69;0,30;0,00;0,00;
0,00;0,00;177,85;0,37;0,00;0,00;
0,00;0,00;178,01;0,45;0,00;0,00;
0,00;0,00;178,17;0,16;0,00;0,00;
0,00;0,00;178,33;0,22;0,00;0,00;
0,00;0,00;178,49;0,30;0,00;0,00;
0,00;0,00;178,65;0,16;0,00;0,00;
0,00;0,00;178,81;0,22;0,00;0,00;
0,00;0,00;178,97;0,22;0,00;0,00;
0,00;0,00;179,13;0,30;0,00;0,00;
0,00;0,00;179,29;0,30;0,00;0,00;
0,00;0,00;179,45;0,30;0,00;0,00;
0,00;0,00;179,61;0,37;0,00;0,00;
0,00;0,00;179,77;0,16;0,00;0,00;
0,00;0,00;179,93;0,30;0,00;0,00;
0,00;0,00;180,09;0,30;0,00;0,00;
0,00;0,00;180,25;0,30;0,00;0,00;
0,00;0,00;180,41;0,16;0,00;0,00;
0,00;0,00;180,57;0,16;0,00;0,00;
0,00;0,00;180,73;0,30;0,00;0,00;
0,00;0,00;180,89;0,22;0,00;0,00;
0,00;0,00;181,05;0,22;0,00;0,00;
0,00;0,00;181,21;0,22;0,00;0,00;
0,00;0,00;181,37;0,22;0,00;0,00;
0,00;0,00;181,53;0,30;0,00;0,00;
0,00;0,00;181,69;0,22;0,00;0,00;
0,00;0,00;181,85;0,22;0,00;0,00;
0,00;0,00;182,01;0,16;0,00;0,00;
0,00;0,00;182,17;0,16;0,00;0,00;
0,00;0,00;182,33;0,22;0,00;0,00;
0,00;0,00;182,49;0,22;0,00;0,00;
0,00;0,00;182,65;0,30;0,00;0,00;
0,00;0,00;182,81;0,30;0,00;0,00;
0,00;0,00;182,97;0,22;0,00;0,00;
0,00;0,00;183,13;0,16;0,00;0,00;
0,00;0,00;183,29;0,22;0,00;0,00;
0,00;0,00;183,45;0,30;0,00;0,00;
0,00;0,00;183,61;0,37;0,00;0,00;
0,00;0,00;183,77;0,22;0,00;0,00;
0,00;0,00;183,93;0,16;0,00;0,00;
0,00;0,00;184,09;0,30;0,00;0,00;
0,00;0,00;184,25;0,16;0,00;0,00;
0,00;0,00;184,41;0,30;0,00;0,00;
0,00;0,00;184,57;0,22;0,00;0,00;
0,00;0,00;184,73;0,22;0,00;0,00;
0,00;0,00;184,89;0,22;0,00;0,00;
0,00;0,00;185,05;0,30;0,00;0,00;
0,00;0,00;185,21;0,30;0,00;0,00;
0,00;0,00;185,37;0,30;0,00;0,00;
0,00;0,00;185,53;0,30;0,00;0,00;
0,00;0,00;185,69;0,30;0,00;0,00;
0,00;0,00;185,85;0,22;0,00;0,00;
0,00;0,00;186,01;0,30;0,00;0,00;
0,00;0,00;186,17;0,16;0,00;0,00;
0,00;0,00;186,33;0,22;0,00;0,00;
0,00;0,00;186,49;0,30;0,00;0,00;
0,00;0,00;186,65;0,16;0,00;0,00;
0,00;0,00;186,81;0,37;0,00;0,00;
0,00;0,00;186,97;0,22;0,00;0,00;
0,00;0,00;187,13;0,22;0,00;0,00;
0,00;0,00;187,29;0,30;0,00;0,00;
0,00;0,00;187,45;0,30;0,00;0,00;
0,00;0,00;187,61;0,22;0,00;0,00;
0,00;0,00;187,77;0,22;0,00;0,00;
0,00;0,00;187,93;0,16;0,00;0,00;
0,00;0,00;188,09;0,22;0,00;0,00;
0,00;0,00;188,25;0,30;0,00;0,00;
0,00;0,00;188,41;0,16;0,00;0,00;
0,00;0,00;188,57;0,22;0,00;0,00;
0,00;0,00;188,73;0,22;0,00;0,00;
0,00;0,00;188,89;0,37;0,00;0,00;
0,00;0,00;189,05;0,30;0,00;0,00;
0,00;0,00;189,21;0,22;0,00;0,00;
0,00;0,00;189,37;0,22;0,00;0,00;
0,00;0,00;189,53;0,16;0,00;0,00;
