3330;28.07.20 10:01:16;21;Avvicinamento Pressata Finale;force < min. force (9);20200728073530A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;249,45;0,09;0,00;0,00;
0,00;0,00;249,58;0,13;0,00;0,00;
0,00;0,00;249,71;0,09;0,00;0,00;
0,00;0,00;249,83;0,09;0,00;0,00;
0,00;0,00;249,96;0,13;0,00;0,00;
0,00;0,00;250,09;0,09;0,00;0,00;
0,00;0,00;250,22;0,13;0,00;0,00;
0,00;0,00;250,35;0,13;0,00;0,00;
0,00;0,00;250,47;0,13;0,00;0,00;
0,00;0,00;250,60;0,13;0,00;0,00;
0,00;0,00;250,73;0,13;0,00;0,00;
0,00;0,00;250,86;0,17;0,00;0,00;
0,00;0,00;250,99;0,30;0,00;0,00;
0,00;0,00;251,11;0,30;0,00;0,00;
0,00;0,00;251,24;0,30;0,00;0,00;
0,00;0,00;251,37;0,35;0,00;0,00;
0,00;0,00;251,50;0,48;0,00;0,00;
0,00;0,00;251,63;0,48;0,00;0,00;
0,00;0,00;251,75;0,48;0,00;0,00;
0,00;0,00;251,88;0,48;0,00;0,00;
0,00;0,00;252,01;0,48;0,00;0,00;
0,00;0,00;252,14;0,44;0,00;0,00;
0,00;0,00;252,27;0,44;0,00;0,00;
0,00;0,00;252,39;0,35;0,00;0,00;
0,00;0,00;252,52;0,30;0,00;0,00;
0,00;0,00;252,65;0,35;0,00;0,00;
0,00;0,00;252,78;0,30;0,00;0,00;
0,00;0,00;252,91;0,30;0,00;0,00;
0,00;0,00;253,03;0,30;0,00;0,00;
0,00;0,00;253,16;0,30;0,00;0,00;
0,00;0,00;253,29;0,30;0,00;0,00;
0,00;0,00;253,41;0,17;0,00;0,00;
0,00;0,00;253,40;0,13;0,00;0,00;
0,00;0,00;253,40;0,13;0,00;0,00;
0,00;0,00;253,40;0,13;0,00;0,00;
0,00;0,00;253,40;0,13;0,00;0,00;
0,00;0,00;253,40;0,13;0,00;0,00;
0,00;0,00;253,40;0,13;0,00;0,00;
0,00;0,00;253,40;0,13;0,00;0,00;
