25591;06.08.21 15:30:18;21;Avvicinamento Pressata Finale;force > max. force (8);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;286,26;3,34;0,00;0,00;
0,00;0,00;286,58;3,30;0,00;0,00;
0,00;0,00;286,90;3,12;0,00;0,00;
0,00;0,00;287,22;3,04;0,00;0,00;
0,00;0,00;287,54;2,95;0,00;0,00;
0,00;0,00;287,86;2,25;0,00;0,00;
0,00;0,00;288,18;1,39;0,00;0,00;
0,00;0,00;288,50;1,82;0,00;0,00;
0,00;0,00;288,79;9,44;0,00;0,00;
0,00;0,00;289,06;24,34;0,00;0,00;
0,00;0,00;289,24;36,53;0,00;0,00;
0,00;0,00;289,27;38,13;0,00;0,00;
0,00;0,00;289,29;39,05;0,00;0,00;
0,00;0,00;289,31;40,22;0,00;0,00;
0,00;0,00;289,32;40,66;0,00;0,00;
0,00;0,00;289,33;41,00;0,00;0,00;
0,00;0,00;289,33;41,05;0,00;0,00;
