8166;13.03.20 11:51:22;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200312175444P    1;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;141,99;1,16;0,00;0,00;
0,00;0,00;142,10;1,15;0,00;0,00;
0,00;0,00;142,21;1,14;0,00;0,00;
0,00;0,00;142,32;1,15;0,00;0,00;
0,00;0,00;142,43;1,13;0,00;0,00;
0,00;0,00;142,55;1,11;0,00;0,00;
0,00;0,00;142,66;1,12;0,00;0,00;
0,00;0,00;142,77;1,12;0,00;0,00;
0,00;0,00;142,88;1,12;0,00;0,00;
0,00;0,00;142,99;1,14;0,00;0,00;
0,00;0,00;143,10;1,13;0,00;0,00;
0,00;0,00;143,22;1,13;0,00;0,00;
0,00;0,00;143,33;1,11;0,00;0,00;
0,00;0,00;143,44;1,15;0,00;0,00;
0,00;0,00;143,55;1,15;0,00;0,00;
0,00;0,00;143,66;1,13;0,00;0,00;
0,00;0,00;143,78;1,14;0,00;0,00;
0,00;0,00;143,89;1,13;0,00;0,00;
0,00;0,00;144,00;1,12;0,00;0,00;
0,00;0,00;144,11;1,12;0,00;0,00;
0,00;0,00;144,23;1,13;0,00;0,00;
0,00;0,00;144,34;1,12;0,00;0,00;
0,00;0,00;144,45;1,11;0,00;0,00;
0,00;0,00;144,56;1,11;0,00;0,00;
0,00;0,00;144,67;1,12;0,00;0,00;
0,00;0,00;144,79;1,09;0,00;0,00;
0,00;0,00;144,90;1,12;0,00;0,00;
0,00;0,00;145,01;1,09;0,00;0,00;
0,00;0,00;145,12;1,09;0,00;0,00;
0,00;0,00;145,23;1,06;0,00;0,00;
0,00;0,00;145,34;1,06;0,00;0,00;
0,00;0,00;145,46;1,06;0,00;0,00;
0,00;0,00;145,57;1,03;0,00;0,00;
0,00;0,00;145,68;1,04;0,00;0,00;
0,00;0,00;145,79;1,02;0,00;0,00;
0,00;0,00;145,90;1,02;0,00;0,00;
0,00;0,00;146,02;1,01;0,00;0,00;
0,00;0,00;146,13;1,03;0,00;0,00;
0,00;0,00;146,24;1,02;0,00;0,00;
0,00;0,00;146,35;1,01;0,00;0,00;
0,00;0,00;146,46;1,03;0,00;0,00;
0,00;0,00;146,58;1,01;0,00;0,00;
0,00;0,00;146,69;1,01;0,00;0,00;
0,00;0,00;146,80;1,01;0,00;0,00;
0,00;0,00;146,91;1,02;0,00;0,00;
