7634;18.12.19 12:04:30;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20191218115413;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;153,11;0,88;0,00;0,00;
0,00;0,00;153,22;0,88;0,00;0,00;
0,00;0,00;153,33;0,90;0,00;0,00;
0,00;0,00;153,44;0,90;0,00;0,00;
0,00;0,00;153,56;0,90;0,00;0,00;
0,00;0,00;153,67;0,90;0,00;0,00;
0,00;0,00;153,78;0,90;0,00;0,00;
0,00;0,00;153,89;0,90;0,00;0,00;
0,00;0,00;154,01;0,90;0,00;0,00;
0,00;0,00;154,12;0,91;0,00;0,00;
0,00;0,00;154,23;0,92;0,00;0,00;
0,00;0,00;154,34;0,93;0,00;0,00;
0,00;0,00;154,45;0,93;0,00;0,00;
0,00;0,00;154,57;0,93;0,00;0,00;
0,00;0,00;154,68;0,93;0,00;0,00;
0,00;0,00;154,79;0,93;0,00;0,00;
0,00;0,00;154,90;0,95;0,00;0,00;
0,00;0,00;155,01;0,93;0,00;0,00;
0,00;0,00;155,13;0,93;0,00;0,00;
0,00;0,00;155,24;0,95;0,00;0,00;
0,00;0,00;155,35;0,96;0,00;0,00;
0,00;0,00;155,46;0,95;0,00;0,00;
0,00;0,00;155,57;0,96;0,00;0,00;
0,00;0,00;155,69;0,96;0,00;0,00;
0,00;0,00;155,80;0,96;0,00;0,00;
0,00;0,00;155,91;0,96;0,00;0,00;
0,00;0,00;156,02;0,97;0,00;0,00;
0,00;0,00;156,13;0,96;0,00;0,00;
0,00;0,00;156,24;0,98;0,00;0,00;
0,00;0,00;156,36;0,97;0,00;0,00;
0,00;0,00;156,47;0,97;0,00;0,00;
0,00;0,00;156,58;0,96;0,00;0,00;
0,00;0,00;156,69;0,99;0,00;0,00;
0,00;0,00;156,81;0,99;0,00;0,00;
0,00;0,00;156,92;0,99;0,00;0,00;
0,00;0,00;157,03;0,99;0,00;0,00;
0,00;0,00;157,14;1,00;0,00;0,00;
0,00;0,00;157,25;0,99;0,00;0,00;
0,00;0,00;157,36;0,99;0,00;0,00;
0,00;0,00;157,48;0,99;0,00;0,00;
0,00;0,00;157,59;0,99;0,00;0,00;
0,00;0,00;157,70;0,99;0,00;0,00;
0,00;0,00;157,81;1,01;0,00;0,00;
0,00;0,00;157,93;1,01;0,00;0,00;
0,00;0,00;158,04;1,01;0,00;0,00;
0,00;0,00;158,15;1,00;0,00;0,00;
0,00;0,00;158,26;1,01;0,00;0,00;
0,00;0,00;158,37;1,01;0,00;0,00;
0,00;0,00;158,49;1,00;0,00;0,00;
0,00;0,00;158,60;1,01;0,00;0,00;
0,00;0,00;158,71;1,01;0,00;0,00;
0,00;0,00;158,82;1,01;0,00;0,00;
0,00;0,00;158,93;1,02;0,00;0,00;
0,00;0,00;159,04;1,01;0,00;0,00;
0,00;0,00;159,16;1,01;0,00;0,00;
0,00;0,00;159,27;1,03;0,00;0,00;
0,00;0,00;159,38;1,03;0,00;0,00;
0,00;0,00;159,49;1,04;0,00;0,00;
0,00;0,00;159,61;1,02;0,00;0,00;
0,00;0,00;159,72;1,04;0,00;0,00;
0,00;0,00;159,83;1,04;0,00;0,00;
0,00;0,00;159,94;1,04;0,00;0,00;
0,00;0,00;160,05;1,04;0,00;0,00;
0,00;0,00;160,17;1,05;0,00;0,00;
0,00;0,00;160,28;1,06;0,00;0,00;
0,00;0,00;160,39;1,06;0,00;0,00;
0,00;0,00;160,50;1,05;0,00;0,00;
0,00;0,00;160,61;1,06;0,00;0,00;
0,00;0,00;160,73;1,06;0,00;0,00;
0,00;0,00;160,80;1,04;0,00;0,00;
0,00;0,00;160,80;1,16;0,00;0,00;
0,00;0,00;160,80;1,17;0,00;0,00;
0,00;0,00;159,77;-0,03;0,00;0,00;
0,00;0,00;158,47;-0,04;0,00;0,00;
0,00;0,00;156,66;-0,05;0,00;0,00;
0,00;0,00;154,34;-0,04;0,00;0,00;
0,00;0,00;151,51;-0,05;0,00;0,00;
0,00;0,00;148,17;-0,04;0,00;0,00;
0,00;0,00;144,68;-0,04;0,00;0,00;
0,00;0,00;141,15;-0,04;0,00;0,00;
0,00;0,00;137,63;-0,05;0,00;0,00;
0,00;0,00;134,11;-0,04;0,00;0,00;
0,00;0,00;130,59;-0,04;0,00;0,00;
0,00;0,00;127,07;-0,03;0,00;0,00;
0,00;0,00;123,55;-0,03;0,00;0,00;
0,00;0,00;120,03;-0,04;0,00;0,00;
0,00;0,00;116,51;-0,02;0,00;0,00;
