14497;29.01.21 08:15:58;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20210128154056P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;132,61;0,01;0,00;0,00;
0,00;0,00;132,69;0,02;0,00;0,00;
0,00;0,00;132,77;0,12;0,00;0,00;
0,00;0,00;132,85;0,14;0,00;0,00;
0,00;0,00;132,93;0,13;0,00;0,00;
0,00;0,00;133,01;0,14;0,00;0,00;
0,00;0,00;133,09;0,14;0,00;0,00;
0,00;0,00;133,18;0,14;0,00;0,00;
0,00;0,00;133,25;0,14;0,00;0,00;
0,00;0,00;133,33;0,14;0,00;0,00;
0,00;0,00;133,41;0,14;0,00;0,00;
0,00;0,00;133,50;0,14;0,00;0,00;
0,00;0,00;133,58;0,14;0,00;0,00;
0,00;0,00;133,65;0,14;0,00;0,00;
0,00;0,00;133,73;0,14;0,00;0,00;
0,00;0,00;133,82;0,14;0,00;0,00;
0,00;0,00;133,90;0,14;0,00;0,00;
0,00;0,00;133,97;0,12;0,00;0,00;
0,00;0,00;134,05;0,12;0,00;0,00;
0,00;0,00;134,13;0,14;0,00;0,00;
0,00;0,00;134,22;0,14;0,00;0,00;
0,00;0,00;134,29;0,13;0,00;0,00;
0,00;0,00;134,38;0,14;0,00;0,00;
0,00;0,00;134,45;0,14;0,00;0,00;
0,00;0,00;134,53;0,12;0,00;0,00;
0,00;0,00;134,61;0,14;0,00;0,00;
0,00;0,00;134,69;0,14;0,00;0,00;
0,00;0,00;134,78;0,13;0,00;0,00;
0,00;0,00;134,86;0,14;0,00;0,00;
0,00;0,00;134,93;0,14;0,00;0,00;
0,00;0,00;135,01;0,14;0,00;0,00;
0,00;0,00;135,09;0,14;0,00;0,00;
0,00;0,00;135,18;0,14;0,00;0,00;
0,00;0,00;135,25;0,14;0,00;0,00;
0,00;0,00;135,33;0,14;0,00;0,00;
0,00;0,00;135,41;0,14;0,00;0,00;
0,00;0,00;135,49;0,14;0,00;0,00;
0,00;0,00;135,57;0,16;0,00;0,00;
0,00;0,00;135,65;0,17;0,00;0,00;
0,00;0,00;135,73;0,21;0,00;0,00;
0,00;0,00;135,81;0,20;0,00;0,00;
0,00;0,00;135,89;0,20;0,00;0,00;
0,00;0,00;135,97;0,22;0,00;0,00;
0,00;0,00;136,05;0,26;0,00;0,00;
0,00;0,00;136,13;0,26;0,00;0,00;
0,00;0,00;136,21;0,26;0,00;0,00;
0,00;0,00;136,29;0,27;0,00;0,00;
0,00;0,00;136,38;0,29;0,00;0,00;
0,00;0,00;136,45;0,28;0,00;0,00;
0,00;0,00;136,53;0,30;0,00;0,00;
0,00;0,00;136,61;0,35;0,00;0,00;
0,00;0,00;136,69;0,34;0,00;0,00;
0,00;0,00;136,77;0,35;0,00;0,00;
0,00;0,00;136,85;0,33;0,00;0,00;
0,00;0,00;136,93;0,33;0,00;0,00;
0,00;0,00;137,01;0,35;0,00;0,00;
0,00;0,00;137,09;0,37;0,00;0,00;
0,00;0,00;137,17;0,38;0,00;0,00;
0,00;0,00;137,25;0,40;0,00;0,00;
0,00;0,00;137,33;0,44;0,00;0,00;
0,00;0,00;137,41;0,44;0,00;0,00;
0,00;0,00;137,49;0,47;0,00;0,00;
0,00;0,00;137,58;0,47;0,00;0,00;
0,00;0,00;137,65;0,49;0,00;0,00;
0,00;0,00;137,73;0,50;0,00;0,00;
0,00;0,00;137,81;0,50;0,00;0,00;
0,00;0,00;137,89;0,51;0,00;0,00;
0,00;0,00;137,98;0,53;0,00;0,00;
0,00;0,00;138,05;0,53;0,00;0,00;
0,00;0,00;138,13;0,53;0,00;0,00;
0,00;0,00;138,21;0,55;0,00;0,00;
0,00;0,00;138,29;0,55;0,00;0,00;
0,00;0,00;138,38;0,55;0,00;0,00;
0,00;0,00;138,45;0,55;0,00;0,00;
0,00;0,00;138,53;0,57;0,00;0,00;
0,00;0,00;138,61;0,58;0,00;0,00;
0,00;0,00;138,69;0,60;0,00;0,00;
0,00;0,00;138,77;0,61;0,00;0,00;
0,00;0,00;138,85;0,61;0,00;0,00;
0,00;0,00;138,93;0,61;0,00;0,00;
0,00;0,00;139,01;0,60;0,00;0,00;
0,00;0,00;139,10;0,58;0,00;0,00;
0,00;0,00;139,18;0,54;0,00;0,00;
0,00;0,00;139,26;0,36;0,00;0,00;
0,00;0,00;139,34;0,02;0,00;0,00;
0,00;0,00;139,42;0,01;0,00;0,00;
0,00;0,00;139,50;0,07;0,00;0,00;
0,00;0,00;139,57;0,23;0,00;0,00;
0,00;0,00;139,65;0,66;0,00;0,00;
0,00;0,00;139,65;0,79;0,00;0,00;
0,00;0,00;139,65;0,79;0,00;0,00;
0,00;0,00;139,52;0,12;0,00;0,00;
0,00;0,00;138,86;-0,04;0,00;0,00;
0,00;0,00;137,69;-0,06;0,00;0,00;
0,00;0,00;136,01;-0,06;0,00;0,00;
0,00;0,00;133,82;-0,06;0,00;0,00;
0,00;0,00;131,12;-0,07;0,00;0,00;
0,00;0,00;127,89;-0,07;0,00;0,00;
0,00;0,00;124,40;-0,05;0,00;0,00;
0,00;0,00;120,88;-0,05;0,00;0,00;
0,00;0,00;117,36;-0,01;0,00;0,00;
0,00;0,00;113,84;-0,05;0,00;0,00;
0,00;0,00;110,32;-0,03;0,00;0,00;
0,00;0,00;106,80;-0,06;0,00;0,00;
0,00;0,00;103,28;-0,04;0,00;0,00;
0,00;0,00;99,76;-0,04;0,00;0,00;
0,00;0,00;96,24;-0,05;0,00;0,00;
0,00;0,00;92,72;-0,04;0,00;0,00;
0,00;0,00;89,20;-0,03;0,00;0,00;
0,00;0,00;85,68;-0,01;0,00;0,00;
0,00;0,00;82,16;-0,02;0,00;0,00;
0,00;0,00;78,64;-0,03;0,00;0,00;
0,00;0,00;75,12;-0,03;0,00;0,00;
0,00;0,00;71,60;-0,04;0,00;0,00;
0,00;0,00;68,08;-0,03;0,00;0,00;
0,00;0,00;64,56;-0,02;0,00;0,00;
0,00;0,00;61,05;-0,04;0,00;0,00;
0,00;0,00;57,52;-0,04;0,00;0,00;
0,00;0,00;54,00;-0,03;0,00;0,00;
0,00;0,00;50,48;-0,04;0,00;0,00;
0,00;0,00;46,96;-0,02;0,00;0,00;
0,00;0,00;43,44;-0,03;0,00;0,00;
0,00;0,00;39,93;-0,03;0,00;0,00;
0,00;0,00;36,40;-0,05;0,00;0,00;
0,00;0,00;32,89;-0,02;0,00;0,00;
0,00;0,00;29,80;-0,01;0,00;0,00;
0,00;0,00;27,15;-0,01;0,00;0,00;
0,00;0,00;23,40;-0,01;0,00;0,00;
0,00;0,00;22,27;0,01;0,00;0,00;
0,00;0,00;21,65;0,01;0,00;0,00;
0,00;0,00;21,50;-0,01;0,00;0,00;
