10297;01.02.21 10:19:34;21;Avvicinamento Pressata Finale;position > max position (10);20210129082400A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;250,63;6,48;0,00;0,00;
0,00;0,00;250,72;7,04;0,00;0,00;
0,00;0,00;250,82;7,29;0,00;0,00;
0,00;0,00;250,92;6,91;0,00;0,00;
0,00;0,00;251,01;6,52;0,00;0,00;
0,00;0,00;251,11;6,60;0,00;0,00;
0,00;0,00;251,20;7,21;0,00;0,00;
0,00;0,00;251,30;7,29;0,00;0,00;
0,00;0,00;251,39;6,96;0,00;0,00;
0,00;0,00;251,49;6,78;0,00;0,00;
0,00;0,00;251,59;7,08;0,00;0,00;
0,00;0,00;251,68;7,69;0,00;0,00;
0,00;0,00;251,78;7,52;0,00;0,00;
0,00;0,00;251,88;7,08;0,00;0,00;
0,00;0,00;251,97;6,82;0,00;0,00;
0,00;0,00;252,07;7,43;0,00;0,00;
0,00;0,00;252,16;7,86;0,00;0,00;
0,00;0,00;252,26;7,60;0,00;0,00;
0,00;0,00;252,36;7,12;0,00;0,00;
0,00;0,00;252,45;7,08;0,00;0,00;
0,00;0,00;252,55;7,77;0,00;0,00;
0,00;0,00;252,64;8,17;0,00;0,00;
0,00;0,00;252,74;7,77;0,00;0,00;
0,00;0,00;252,84;7,29;0,00;0,00;
0,00;0,00;252,93;7,38;0,00;0,00;
0,00;0,00;253,03;8,21;0,00;0,00;
0,00;0,00;253,12;8,34;0,00;0,00;
0,00;0,00;253,22;7,95;0,00;0,00;
0,00;0,00;253,32;7,52;0,00;0,00;
0,00;0,00;253,41;7,69;0,00;0,00;
0,00;0,00;253,51;8,34;0,00;0,00;
0,00;0,00;253,60;8,56;0,00;0,00;
0,00;0,00;253,70;8,04;0,00;0,00;
0,00;0,00;253,79;7,60;0,00;0,00;
0,00;0,00;253,89;8,08;0,00;0,00;
0,00;0,00;253,99;8,65;0,00;0,00;
0,00;0,00;254,08;8,65;0,00;0,00;
0,00;0,00;254,18;8,04;0,00;0,00;
0,00;0,00;254,27;7,69;0,00;0,00;
0,00;0,00;254,37;8,12;0,00;0,00;
0,00;0,00;254,47;8,82;0,00;0,00;
0,00;0,00;254,56;8,78;0,00;0,00;
0,00;0,00;254,66;8,12;0,00;0,00;
0,00;0,00;254,75;7,86;0,00;0,00;
0,00;0,00;254,85;8,34;0,00;0,00;
0,00;0,00;254,95;9,13;0,00;0,00;
0,00;0,00;255,04;8,90;0,00;0,00;
0,00;0,00;255,14;8,21;0,00;0,00;
0,00;0,00;255,24;7,95;0,00;0,00;
0,00;0,00;255,33;8,60;0,00;0,00;
0,00;0,00;255,43;9,30;0,00;0,00;
0,00;0,00;255,52;8,90;0,00;0,00;
0,00;0,00;255,62;8,12;0,00;0,00;
0,00;0,00;255,71;8,00;0,00;0,00;
0,00;0,00;255,81;8,87;0,00;0,00;
0,00;0,00;255,91;9,61;0,00;0,00;
0,00;0,00;256,00;9,08;0,00;0,00;
0,00;0,00;256,10;8,51;0,00;0,00;
