7939;18.02.20 15:21:37;21;Avvicinamento Pressata Fuori Ingombro;wrong softlimit spindle data (74);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;151,38;1,00;0,00;0,00;
0,00;0,00;151,51;1,00;0,00;0,00;
0,00;0,00;151,64;0,99;0,00;0,00;
0,00;0,00;151,76;0,99;0,00;0,00;
0,00;0,00;151,89;0,99;0,00;0,00;
0,00;0,00;152,02;0,99;0,00;0,00;
0,00;0,00;152,15;0,99;0,00;0,00;
0,00;0,00;152,27;0,99;0,00;0,00;
0,00;0,00;152,40;0,99;0,00;0,00;
0,00;0,00;152,53;0,99;0,00;0,00;
0,00;0,00;152,66;0,99;0,00;0,00;
0,00;0,00;152,79;0,99;0,00;0,00;
0,00;0,00;152,92;0,99;0,00;0,00;
0,00;0,00;153,04;0,99;0,00;0,00;
0,00;0,00;153,17;0,99;0,00;0,00;
0,00;0,00;153,30;0,99;0,00;0,00;
0,00;0,00;153,43;0,99;0,00;0,00;
0,00;0,00;153,56;0,99;0,00;0,00;
0,00;0,00;153,68;0,99;0,00;0,00;
0,00;0,00;153,81;0,99;0,00;0,00;
0,00;0,00;153,94;0,99;0,00;0,00;
0,00;0,00;154,07;0,99;0,00;0,00;
0,00;0,00;154,19;0,99;0,00;0,00;
0,00;0,00;154,32;0,99;0,00;0,00;
0,00;0,00;154,45;0,99;0,00;0,00;
0,00;0,00;154,58;1,00;0,00;0,00;
0,00;0,00;154,71;1,01;0,00;0,00;
0,00;0,00;154,84;1,01;0,00;0,00;
0,00;0,00;154,96;0,99;0,00;0,00;
0,00;0,00;155,09;1,00;0,00;0,00;
0,00;0,00;155,22;1,00;0,00;0,00;
0,00;0,00;155,35;1,01;0,00;0,00;
0,00;0,00;155,47;1,02;0,00;0,00;
0,00;0,00;155,60;1,02;0,00;0,00;
0,00;0,00;155,73;1,02;0,00;0,00;
0,00;0,00;155,86;1,02;0,00;0,00;
0,00;0,00;155,99;1,02;0,00;0,00;
0,00;0,00;156,11;1,02;0,00;0,00;
0,00;0,00;156,24;1,02;0,00;0,00;
0,00;0,00;156,37;1,03;0,00;0,00;
0,00;0,00;156,50;1,02;0,00;0,00;
0,00;0,00;156,63;1,03;0,00;0,00;
0,00;0,00;156,76;1,02;0,00;0,00;
0,00;0,00;156,88;1,02;0,00;0,00;
0,00;0,00;157,01;1,03;0,00;0,00;
0,00;0,00;157,14;1,04;0,00;0,00;
0,00;0,00;157,27;1,04;0,00;0,00;
0,00;0,00;157,39;1,04;0,00;0,00;
0,00;0,00;157,52;1,05;0,00;0,00;
0,00;0,00;157,65;1,04;0,00;0,00;
0,00;0,00;157,78;1,05;0,00;0,00;
0,00;0,00;157,91;1,05;0,00;0,00;
0,00;0,00;158,04;1,05;0,00;0,00;
0,00;0,00;158,16;1,05;0,00;0,00;
0,00;0,00;158,29;1,05;0,00;0,00;
0,00;0,00;158,42;1,04;0,00;0,00;
0,00;0,00;158,55;1,05;0,00;0,00;
0,00;0,00;158,67;1,04;0,00;0,00;
0,00;0,00;158,80;1,05;0,00;0,00;
0,00;0,00;158,93;1,05;0,00;0,00;
0,00;0,00;159,06;1,04;0,00;0,00;
0,00;0,00;159,19;1,05;0,00;0,00;
0,00;0,00;159,31;1,04;0,00;0,00;
0,00;0,00;159,44;1,04;0,00;0,00;
0,00;0,00;159,57;1,02;0,00;0,00;
0,00;0,00;159,70;1,03;0,00;0,00;
0,00;0,00;159,83;1,02;0,00;0,00;
0,00;0,00;159,95;1,02;0,00;0,00;
0,00;0,00;160,08;1,02;0,00;0,00;
0,00;0,00;160,21;1,03;0,00;0,00;
0,00;0,00;160,34;1,03;0,00;0,00;
0,00;0,00;160,47;1,02;0,00;0,00;
0,00;0,00;160,59;1,02;0,00;0,00;
0,00;0,00;160,72;1,02;0,00;0,00;
0,00;0,00;160,81;0,91;0,00;0,00;
0,00;0,00;160,81;0,91;0,00;0,00;
