55409;03.06.21 16:12:27;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210603133817P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;166,00;13,84;0,00;0,00;
0,00;0,00;166,00;14,02;0,00;0,00;
0,00;0,00;166,01;14,22;0,00;0,00;
0,00;0,00;166,01;14,60;0,00;0,00;
0,00;0,00;166,02;14,81;0,00;0,00;
0,00;0,00;166,02;15,03;0,00;0,00;
0,00;0,00;166,03;15,15;0,00;0,00;
0,00;0,00;166,03;15,35;0,00;0,00;
0,00;0,00;166,03;15,47;0,00;0,00;
0,00;0,00;166,04;15,58;0,00;0,00;
0,00;0,00;166,04;15,69;0,00;0,00;
0,00;0,00;166,04;15,76;0,00;0,00;
0,00;0,00;166,04;15,87;0,00;0,00;
0,00;0,00;166,04;15,94;0,00;0,00;
0,00;0,00;165,82;7,78;0,00;0,00;
0,00;0,00;165,14;-0,07;0,00;0,00;
0,00;0,00;163,86;-0,05;0,00;0,00;
0,00;0,00;162,02;-0,05;0,00;0,00;
0,00;0,00;159,70;-0,12;0,00;0,00;
0,00;0,00;156,86;-0,14;0,00;0,00;
0,00;0,00;153,70;-0,05;0,00;0,00;
0,00;0,00;150,57;-0,05;0,00;0,00;
0,00;0,00;147,35;-0,07;0,00;0,00;
0,00;0,00;137,74;-0,02;0,00;0,00;
0,00;0,00;134,54;-0,02;0,00;0,00;
0,00;0,00;131,34;-0,05;0,00;0,00;
0,00;0,00;128,14;-0,02;0,00;0,00;
0,00;0,00;124,94;-0,02;0,00;0,00;
0,00;0,00;121,74;-0,02;0,00;0,00;
0,00;0,00;118,54;-0,05;0,00;0,00;
0,00;0,00;115,34;-0,05;0,00;0,00;
0,00;0,00;108,94;-0,05;0,00;0,00;
0,00;0,00;105,74;-0,02;0,00;0,00;
0,00;0,00;102,54;-0,07;0,00;0,00;
0,00;0,00;99,34;-0,07;0,00;0,00;
0,00;0,00;96,14;-0,05;0,00;0,00;
0,00;0,00;92,94;-0,05;0,00;0,00;
0,00;0,00;89,74;-0,05;0,00;0,00;
0,00;0,00;86,54;-0,05;0,00;0,00;
0,00;0,00;83,34;-0,05;0,00;0,00;
0,00;0,00;80,14;-0,02;0,00;0,00;
0,00;0,00;76,94;-0,05;0,00;0,00;
0,00;0,00;73,74;-0,05;0,00;0,00;
0,00;0,00;70,54;-0,02;0,00;0,00;
0,00;0,00;67,34;-0,07;0,00;0,00;
0,00;0,00;64,14;-0,02;0,00;0,00;
0,00;0,00;60,94;-0,02;0,00;0,00;
0,00;0,00;57,74;-0,05;0,00;0,00;
0,00;0,00;54,54;-0,07;0,00;0,00;
