25598;06.08.21 17:01:21;21;Avvicinamento Pressata Finale;wrong softlimit spindle data (74);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;186,04;3,82;0,00;0,00;
0,00;0,00;186,35;4,00;0,00;0,00;
0,00;0,00;186,68;4,26;0,00;0,00;
0,00;0,00;187,00;4,35;0,00;0,00;
0,00;0,00;187,31;4,70;0,00;0,00;
0,00;0,00;187,64;4,87;0,00;0,00;
0,00;0,00;187,95;5,99;0,00;0,00;
0,00;0,00;188,27;6,48;0,00;0,00;
0,00;0,00;188,59;6,78;0,00;0,00;
0,00;0,00;188,91;7,04;0,00;0,00;
0,00;0,00;189,23;7,39;0,00;0,00;
0,00;0,00;189,55;7,78;0,00;0,00;
0,00;0,00;189,87;8,04;0,00;0,00;
0,00;0,00;190,20;8,52;0,00;0,00;
0,00;0,00;190,51;8,87;0,00;0,00;
0,00;0,00;190,83;9,08;0,00;0,00;
0,00;0,00;191,15;9,35;0,00;0,00;
0,00;0,00;191,47;9,43;0,00;0,00;
0,00;0,00;191,80;9,56;0,00;0,00;
0,00;0,00;192,12;9,78;0,00;0,00;
0,00;0,00;192,44;9,83;0,00;0,00;
0,00;0,00;192,76;10,00;0,00;0,00;
0,00;0,00;193,07;10,22;0,00;0,00;
0,00;0,00;193,40;8,78;0,00;0,00;
0,00;0,00;193,71;10,34;0,00;0,00;
0,00;0,00;194,04;10,48;0,00;0,00;
0,00;0,00;194,36;10,56;0,00;0,00;
0,00;0,00;194,67;10,78;0,00;0,00;
0,00;0,00;195,00;10,78;0,00;0,00;
0,00;0,00;195,32;10,78;0,00;0,00;
0,00;0,00;195,64;10,82;0,00;0,00;
0,00;0,00;195,96;10,91;0,00;0,00;
0,00;0,00;196,28;10,87;0,00;0,00;
0,00;0,00;196,60;10,87;0,00;0,00;
0,00;0,00;196,92;10,91;0,00;0,00;
0,00;0,00;197,24;10,99;0,00;0,00;
0,00;0,00;197,56;10,91;0,00;0,00;
0,00;0,00;197,88;10,91;0,00;0,00;
0,00;0,00;198,20;10,78;0,00;0,00;
0,00;0,00;198,52;10,78;0,00;0,00;
0,00;0,00;198,84;10,65;0,00;0,00;
0,00;0,00;199,16;10,65;0,00;0,00;
0,00;0,00;199,48;10,61;0,00;0,00;
0,00;0,00;199,80;10,52;0,00;0,00;
0,00;0,00;200,12;10,52;0,00;0,00;
0,00;0,00;200,44;10,57;0,00;0,00;
0,00;0,00;200,76;10,61;0,00;0,00;
0,00;0,00;201,08;10,74;0,00;0,00;
0,00;0,00;201,40;10,74;0,00;0,00;
0,00;0,00;201,72;10,61;0,00;0,00;
0,00;0,00;202,04;10,65;0,00;0,00;
0,00;0,00;202,36;10,57;0,00;0,00;
0,00;0,00;202,68;10,34;0,00;0,00;
0,00;0,00;203,00;10,13;0,00;0,00;
0,00;0,00;203,32;9,74;0,00;0,00;
0,00;0,00;203,64;9,35;0,00;0,00;
0,00;0,00;203,96;9,00;0,00;0,00;
0,00;0,00;204,28;9,04;0,00;0,00;
0,00;0,00;204,60;8,69;0,00;0,00;
0,00;0,00;204,92;8,39;0,00;0,00;
0,00;0,00;205,24;8,39;0,00;0,00;
0,00;0,00;205,56;8,52;0,00;0,00;
0,00;0,00;205,88;8,91;0,00;0,00;
0,00;0,00;206,20;8,87;0,00;0,00;
0,00;0,00;206,52;8,82;0,00;0,00;
0,00;0,00;206,84;8,73;0,00;0,00;
0,00;0,00;207,16;8,43;0,00;0,00;
0,00;0,00;207,48;7,74;0,00;0,00;
0,00;0,00;207,80;6,82;0,00;0,00;
0,00;0,00;208,12;6,22;0,00;0,00;
0,00;0,00;208,44;6,04;0,00;0,00;
0,00;0,00;208,76;5,74;0,00;0,00;
0,00;0,00;209,08;5,74;0,00;0,00;
0,00;0,00;209,40;5,57;0,00;0,00;
0,00;0,00;209,72;5,48;0,00;0,00;
0,00;0,00;210,04;5,39;0,00;0,00;
0,00;0,00;210,36;5,21;0,00;0,00;
0,00;0,00;210,68;5,12;0,00;0,00;
0,00;0,00;211,00;5,08;0,00;0,00;
0,00;0,00;211,32;5,17;0,00;0,00;
0,00;0,00;211,63;5,47;0,00;0,00;
0,00;0,00;211,96;5,30;0,00;0,00;
0,00;0,00;212,28;5,21;0,00;0,00;
0,00;0,00;212,60;5,12;0,00;0,00;
0,00;0,00;212,92;5,74;0,00;0,00;
0,00;0,00;213,23;5,69;0,00;0,00;
0,00;0,00;213,56;5,08;0,00;0,00;
0,00;0,00;213,87;6,16;0,00;0,00;
0,00;0,00;214,20;5,78;0,00;0,00;
0,00;0,00;214,52;5,57;0,00;0,00;
0,00;0,00;214,84;5,65;0,00;0,00;
0,00;0,00;215,16;5,65;0,00;0,00;
0,00;0,00;215,48;5,83;0,00;0,00;
0,00;0,00;215,80;6,26;0,00;0,00;
0,00;0,00;216,12;6,26;0,00;0,00;
0,00;0,00;216,44;6,26;0,00;0,00;
0,00;0,00;216,76;6,26;0,00;0,00;
0,00;0,00;217,08;6,22;0,00;0,00;
0,00;0,00;217,40;6,30;0,00;0,00;
0,00;0,00;217,72;6,08;0,00;0,00;
0,00;0,00;218,04;5,95;0,00;0,00;
0,00;0,00;218,36;6,08;0,00;0,00;
0,00;0,00;218,68;6,04;0,00;0,00;
0,00;0,00;219,00;6,08;0,00;0,00;
0,00;0,00;219,32;5,91;0,00;0,00;
0,00;0,00;219,64;5,95;0,00;0,00;
0,00;0,00;219,96;6,56;0,00;0,00;
0,00;0,00;220,28;6,08;0,00;0,00;
0,00;0,00;220,60;6,34;0,00;0,00;
0,00;0,00;220,92;6,61;0,00;0,00;
0,00;0,00;221,24;6,78;0,00;0,00;
0,00;0,00;221,56;6,82;0,00;0,00;
0,00;0,00;221,88;6,78;0,00;0,00;
0,00;0,00;222,20;6,78;0,00;0,00;
0,00;0,00;222,52;6,78;0,00;0,00;
0,00;0,00;222,84;6,78;0,00;0,00;
0,00;0,00;223,16;6,73;0,00;0,00;
0,00;0,00;223,48;6,73;0,00;0,00;
0,00;0,00;223,80;6,69;0,00;0,00;
0,00;0,00;224,12;6,61;0,00;0,00;
0,00;0,00;224,44;6,61;0,00;0,00;
0,00;0,00;224,76;6,69;0,00;0,00;
0,00;0,00;225,08;6,56;0,00;0,00;
0,00;0,00;225,40;6,48;0,00;0,00;
0,00;0,00;225,72;6,64;0,00;0,00;
0,00;0,00;226,04;6,60;0,00;0,00;
0,00;0,00;226,36;6,34;0,00;0,00;
0,00;0,00;226,68;6,43;0,00;0,00;
0,00;0,00;227,00;6,43;0,00;0,00;
0,00;0,00;227,32;6,39;0,00;0,00;
0,00;0,00;227,64;6,30;0,00;0,00;
0,00;0,00;227,96;6,22;0,00;0,00;
0,00;0,00;228,22;5,95;0,00;0,00;
