17926;23.03.21 14:07:56;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20210323083700P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;132,59;0,03;0,00;0,00;
0,00;0,00;132,67;0,02;0,00;0,00;
0,00;0,00;132,75;0,03;0,00;0,00;
0,00;0,00;132,83;0,03;0,00;0,00;
0,00;0,00;132,92;0,02;0,00;0,00;
0,00;0,00;132,99;0,03;0,00;0,00;
0,00;0,00;133,07;0,03;0,00;0,00;
0,00;0,00;133,16;0,02;0,00;0,00;
0,00;0,00;133,23;0,03;0,00;0,00;
0,00;0,00;133,31;0,03;0,00;0,00;
0,00;0,00;133,39;0,02;0,00;0,00;
0,00;0,00;133,47;0,02;0,00;0,00;
0,00;0,00;133,56;0,03;0,00;0,00;
0,00;0,00;133,63;0,03;0,00;0,00;
0,00;0,00;133,71;0,03;0,00;0,00;
0,00;0,00;133,79;0,02;0,00;0,00;
0,00;0,00;133,87;0,02;0,00;0,00;
0,00;0,00;133,95;0,03;0,00;0,00;
0,00;0,00;134,03;0,03;0,00;0,00;
0,00;0,00;134,12;0,02;0,00;0,00;
0,00;0,00;134,19;0,03;0,00;0,00;
0,00;0,00;134,27;0,04;0,00;0,00;
0,00;0,00;134,35;0,09;0,00;0,00;
0,00;0,00;134,43;0,12;0,00;0,00;
0,00;0,00;134,51;0,12;0,00;0,00;
0,00;0,00;134,59;0,15;0,00;0,00;
0,00;0,00;134,67;0,15;0,00;0,00;
0,00;0,00;134,76;0,17;0,00;0,00;
0,00;0,00;134,83;0,20;0,00;0,00;
0,00;0,00;134,91;0,19;0,00;0,00;
0,00;0,00;134,99;0,17;0,00;0,00;
0,00;0,00;135,07;0,19;0,00;0,00;
0,00;0,00;135,16;0,22;0,00;0,00;
0,00;0,00;135,23;0,23;0,00;0,00;
0,00;0,00;135,31;0,26;0,00;0,00;
0,00;0,00;135,39;0,26;0,00;0,00;
0,00;0,00;135,47;0,26;0,00;0,00;
0,00;0,00;135,55;0,26;0,00;0,00;
0,00;0,00;135,63;0,26;0,00;0,00;
0,00;0,00;135,71;0,26;0,00;0,00;
0,00;0,00;135,79;0,27;0,00;0,00;
0,00;0,00;135,87;0,26;0,00;0,00;
0,00;0,00;135,96;0,26;0,00;0,00;
0,00;0,00;136,03;0,26;0,00;0,00;
0,00;0,00;136,11;0,29;0,00;0,00;
0,00;0,00;136,19;0,31;0,00;0,00;
0,00;0,00;136,27;0,38;0,00;0,00;
0,00;0,00;136,35;0,47;0,00;0,00;
0,00;0,00;136,43;0,45;0,00;0,00;
0,00;0,00;136,51;0,46;0,00;0,00;
0,00;0,00;136,59;0,45;0,00;0,00;
0,00;0,00;136,67;0,44;0,00;0,00;
0,00;0,00;136,76;0,44;0,00;0,00;
0,00;0,00;136,83;0,44;0,00;0,00;
0,00;0,00;136,91;0,44;0,00;0,00;
0,00;0,00;136,99;0,45;0,00;0,00;
0,00;0,00;137,07;0,46;0,00;0,00;
0,00;0,00;137,16;0,46;0,00;0,00;
0,00;0,00;137,23;0,47;0,00;0,00;
0,00;0,00;137,31;0,49;0,00;0,00;
0,00;0,00;137,39;0,44;0,00;0,00;
0,00;0,00;137,47;0,46;0,00;0,00;
0,00;0,00;137,56;0,47;0,00;0,00;
0,00;0,00;137,63;0,48;0,00;0,00;
0,00;0,00;137,71;0,47;0,00;0,00;
0,00;0,00;137,79;0,49;0,00;0,00;
0,00;0,00;137,87;0,50;0,00;0,00;
0,00;0,00;137,96;0,50;0,00;0,00;
0,00;0,00;138,03;0,50;0,00;0,00;
0,00;0,00;138,11;0,50;0,00;0,00;
0,00;0,00;138,19;0,52;0,00;0,00;
0,00;0,00;138,27;0,53;0,00;0,00;
0,00;0,00;138,35;0,54;0,00;0,00;
0,00;0,00;138,43;0,55;0,00;0,00;
0,00;0,00;138,51;0,57;0,00;0,00;
0,00;0,00;138,59;0,57;0,00;0,00;
0,00;0,00;138,67;0,58;0,00;0,00;
0,00;0,00;138,75;0,58;0,00;0,00;
0,00;0,00;138,83;0,58;0,00;0,00;
0,00;0,00;138,91;0,58;0,00;0,00;
0,00;0,00;138,99;0,58;0,00;0,00;
0,00;0,00;139,07;0,58;0,00;0,00;
0,00;0,00;139,16;0,53;0,00;0,00;
0,00;0,00;139,24;0,44;0,00;0,00;
0,00;0,00;139,32;0,02;0,00;0,00;
0,00;0,00;139,40;0,02;0,00;0,00;
0,00;0,00;139,48;0,02;0,00;0,00;
0,00;0,00;139,56;0,07;0,00;0,00;
0,00;0,00;139,63;0,39;0,00;0,00;
0,00;0,00;139,65;0,55;0,00;0,00;
0,00;0,00;139,65;0,55;0,00;0,00;
0,00;0,00;139,60;0,24;0,00;0,00;
0,00;0,00;139,07;-0,03;0,00;0,00;
0,00;0,00;138,03;-0,03;0,00;0,00;
0,00;0,00;136,48;-0,04;0,00;0,00;
0,00;0,00;134,41;-0,04;0,00;0,00;
0,00;0,00;131,84;-0,04;0,00;0,00;
0,00;0,00;128,75;-0,06;0,00;0,00;
0,00;0,00;125,27;-0,01;0,00;0,00;
0,00;0,00;121,76;-0,03;0,00;0,00;
0,00;0,00;118,24;-0,02;0,00;0,00;
0,00;0,00;114,72;-0,04;0,00;0,00;
0,00;0,00;111,21;-0,04;0,00;0,00;
0,00;0,00;107,68;-0,02;0,00;0,00;
