2571;23.01.20 16:40:14;21;Avvicinamento Pressata Finale;position > max position (10);20200122171204;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;190,42;0,04;0,00;0,00;
0,00;0,00;190,58;0,04;0,00;0,00;
0,00;0,00;190,74;0,04;0,00;0,00;
0,00;0,00;190,90;0,04;0,00;0,00;
0,00;0,00;191,06;0,04;0,00;0,00;
0,00;0,00;191,22;0,04;0,00;0,00;
0,00;0,00;191,38;0,04;0,00;0,00;
0,00;0,00;191,54;0,04;0,00;0,00;
0,00;0,00;191,70;0,04;0,00;0,00;
0,00;0,00;191,86;0,12;0,00;0,00;
0,00;0,00;192,02;0,04;0,00;0,00;
0,00;0,00;192,18;0,04;0,00;0,00;
0,00;0,00;192,34;0,04;0,00;0,00;
0,00;0,00;192,50;0,04;0,00;0,00;
0,00;0,00;192,66;0,04;0,00;0,00;
0,00;0,00;192,82;0,04;0,00;0,00;
0,00;0,00;192,98;0,04;0,00;0,00;
0,00;0,00;193,14;0,04;0,00;0,00;
0,00;0,00;193,30;0,04;0,00;0,00;
0,00;0,00;193,46;0,04;0,00;0,00;
0,00;0,00;193,62;0,04;0,00;0,00;
0,00;0,00;193,78;0,04;0,00;0,00;
0,00;0,00;193,94;0,04;0,00;0,00;
0,00;0,00;194,10;0,04;0,00;0,00;
0,00;0,00;194,26;0,04;0,00;0,00;
0,00;0,00;194,42;0,04;0,00;0,00;
0,00;0,00;194,58;0,08;0,00;0,00;
0,00;0,00;194,74;0,04;0,00;0,00;
0,00;0,00;194,90;0,04;0,00;0,00;
0,00;0,00;195,06;0,04;0,00;0,00;
0,00;0,00;195,22;0,04;0,00;0,00;
0,00;0,00;195,38;0,04;0,00;0,00;
0,00;0,00;195,54;0,04;0,00;0,00;
0,00;0,00;195,70;0,04;0,00;0,00;
0,00;0,00;195,86;0,04;0,00;0,00;
0,00;0,00;196,02;0,04;0,00;0,00;
0,00;0,00;196,18;0,04;0,00;0,00;
0,00;0,00;196,34;0,04;0,00;0,00;
0,00;0,00;196,50;0,04;0,00;0,00;
0,00;0,00;196,66;0,04;0,00;0,00;
0,00;0,00;196,82;0,08;0,00;0,00;
0,00;0,00;196,98;0,04;0,00;0,00;
0,00;0,00;197,14;0,04;0,00;0,00;
0,00;0,00;197,30;0,04;0,00;0,00;
0,00;0,00;197,46;0,04;0,00;0,00;
0,00;0,00;197,62;0,04;0,00;0,00;
0,00;0,00;197,78;0,04;0,00;0,00;
0,00;0,00;197,94;0,04;0,00;0,00;
0,00;0,00;198,10;0,04;0,00;0,00;
0,00;0,00;198,26;0,04;0,00;0,00;
0,00;0,00;198,42;0,04;0,00;0,00;
0,00;0,00;198,58;0,04;0,00;0,00;
0,00;0,00;198,74;0,04;0,00;0,00;
0,00;0,00;198,90;0,04;0,00;0,00;
0,00;0,00;199,06;0,04;0,00;0,00;
0,00;0,00;199,22;0,04;0,00;0,00;
0,00;0,00;199,38;0,04;0,00;0,00;
0,00;0,00;199,54;0,04;0,00;0,00;
0,00;0,00;199,70;0,04;0,00;0,00;
0,00;0,00;199,86;0,04;0,00;0,00;
0,00;0,00;200,02;0,04;0,00;0,00;
0,00;0,00;200,18;0,04;0,00;0,00;
0,00;0,00;200,34;0,04;0,00;0,00;
0,00;0,00;200,50;0,04;0,00;0,00;
0,00;0,00;200,66;0,04;0,00;0,00;
0,00;0,00;200,82;0,04;0,00;0,00;
0,00;0,00;200,98;0,04;0,00;0,00;
0,00;0,00;201,14;0,04;0,00;0,00;
0,00;0,00;201,30;0,04;0,00;0,00;
0,00;0,00;201,46;0,04;0,00;0,00;
0,00;0,00;201,62;0,04;0,00;0,00;
0,00;0,00;201,78;0,04;0,00;0,00;
0,00;0,00;201,94;0,04;0,00;0,00;
0,00;0,00;202,10;0,04;0,00;0,00;
0,00;0,00;202,26;0,04;0,00;0,00;
0,00;0,00;202,42;0,04;0,00;0,00;
0,00;0,00;202,58;0,04;0,00;0,00;
0,00;0,00;202,74;0,08;0,00;0,00;
0,00;0,00;202,90;0,04;0,00;0,00;
0,00;0,00;203,06;0,04;0,00;0,00;
0,00;0,00;203,22;0,04;0,00;0,00;
0,00;0,00;203,38;0,04;0,00;0,00;
0,00;0,00;203,54;0,08;0,00;0,00;
0,00;0,00;203,70;0,04;0,00;0,00;
0,00;0,00;203,86;0,04;0,00;0,00;
0,00;0,00;204,02;0,04;0,00;0,00;
0,00;0,00;204,18;0,04;0,00;0,00;
0,00;0,00;204,34;0,04;0,00;0,00;
0,00;0,00;204,50;0,04;0,00;0,00;
0,00;0,00;204,66;0,04;0,00;0,00;
0,00;0,00;204,82;0,04;0,00;0,00;
0,00;0,00;204,98;0,04;0,00;0,00;
0,00;0,00;205,14;0,04;0,00;0,00;
0,00;0,00;205,30;0,04;0,00;0,00;
0,00;0,00;205,46;0,04;0,00;0,00;
0,00;0,00;205,62;0,04;0,00;0,00;
0,00;0,00;205,78;0,08;0,00;0,00;
0,00;0,00;205,94;0,04;0,00;0,00;
0,00;0,00;206,10;0,04;0,00;0,00;
0,00;0,00;206,26;0,04;0,00;0,00;
0,00;0,00;206,42;0,04;0,00;0,00;
0,00;0,00;206,58;0,04;0,00;0,00;
0,00;0,00;206,74;0,04;0,00;0,00;
0,00;0,00;206,90;0,04;0,00;0,00;
0,00;0,00;207,06;0,04;0,00;0,00;
0,00;0,00;207,22;0,04;0,00;0,00;
0,00;0,00;207,38;0,04;0,00;0,00;
0,00;0,00;207,54;0,04;0,00;0,00;
0,00;0,00;207,70;0,04;0,00;0,00;
0,00;0,00;207,86;0,04;0,00;0,00;
0,00;0,00;208,02;0,04;0,00;0,00;
0,00;0,00;208,18;0,04;0,00;0,00;
0,00;0,00;208,34;0,04;0,00;0,00;
0,00;0,00;208,50;0,04;0,00;0,00;
0,00;0,00;208,66;0,04;0,00;0,00;
0,00;0,00;208,82;0,08;0,00;0,00;
0,00;0,00;208,98;0,04;0,00;0,00;
0,00;0,00;209,14;0,04;0,00;0,00;
0,00;0,00;209,30;0,04;0,00;0,00;
0,00;0,00;209,46;0,04;0,00;0,00;
0,00;0,00;209,62;0,04;0,00;0,00;
0,00;0,00;209,78;0,04;0,00;0,00;
0,00;0,00;209,94;0,04;0,00;0,00;
0,00;0,00;210,10;0,04;0,00;0,00;
0,00;0,00;210,26;0,04;0,00;0,00;
0,00;0,00;210,42;0,04;0,00;0,00;
0,00;0,00;210,58;0,04;0,00;0,00;
0,00;0,00;210,74;0,04;0,00;0,00;
0,00;0,00;210,90;0,04;0,00;0,00;
0,00;0,00;211,06;0,04;0,00;0,00;
0,00;0,00;211,22;0,04;0,00;0,00;
0,00;0,00;211,38;0,04;0,00;0,00;
0,00;0,00;211,54;0,04;0,00;0,00;
0,00;0,00;211,70;0,04;0,00;0,00;
0,00;0,00;211,86;0,04;0,00;0,00;
0,00;0,00;212,02;0,04;0,00;0,00;
0,00;0,00;212,18;0,04;0,00;0,00;
0,00;0,00;212,34;0,04;0,00;0,00;
0,00;0,00;212,50;0,04;0,00;0,00;
0,00;0,00;212,66;0,04;0,00;0,00;
0,00;0,00;212,82;0,04;0,00;0,00;
0,00;0,00;212,98;0,04;0,00;0,00;
0,00;0,00;213,14;0,04;0,00;0,00;
0,00;0,00;213,30;0,04;0,00;0,00;
0,00;0,00;213,46;0,04;0,00;0,00;
0,00;0,00;213,62;0,04;0,00;0,00;
0,00;0,00;213,78;0,04;0,00;0,00;
0,00;0,00;213,94;0,04;0,00;0,00;
0,00;0,00;214,10;0,04;0,00;0,00;
0,00;0,00;214,26;0,04;0,00;0,00;
0,00;0,00;214,42;0,04;0,00;0,00;
0,00;0,00;214,58;0,04;0,00;0,00;
0,00;0,00;214,74;0,12;0,00;0,00;
0,00;0,00;214,90;0,04;0,00;0,00;
0,00;0,00;215,06;0,04;0,00;0,00;
0,00;0,00;215,22;0,04;0,00;0,00;
0,00;0,00;215,38;0,04;0,00;0,00;
0,00;0,00;215,54;0,04;0,00;0,00;
0,00;0,00;215,70;0,04;0,00;0,00;
0,00;0,00;215,86;0,04;0,00;0,00;
0,00;0,00;216,02;0,04;0,00;0,00;
0,00;0,00;216,18;0,04;0,00;0,00;
0,00;0,00;216,34;0,04;0,00;0,00;
0,00;0,00;216,50;0,04;0,00;0,00;
0,00;0,00;216,66;0,04;0,00;0,00;
0,00;0,00;216,82;0,04;0,00;0,00;
0,00;0,00;216,98;0,04;0,00;0,00;
0,00;0,00;217,14;0,04;0,00;0,00;
0,00;0,00;217,30;0,04;0,00;0,00;
0,00;0,00;217,46;0,04;0,00;0,00;
0,00;0,00;217,62;0,04;0,00;0,00;
0,00;0,00;217,78;0,04;0,00;0,00;
0,00;0,00;217,94;0,04;0,00;0,00;
0,00;0,00;218,10;0,04;0,00;0,00;
0,00;0,00;218,26;0,04;0,00;0,00;
0,00;0,00;218,42;0,04;0,00;0,00;
0,00;0,00;218,58;0,04;0,00;0,00;
0,00;0,00;218,74;0,04;0,00;0,00;
0,00;0,00;218,90;0,08;0,00;0,00;
0,00;0,00;219,06;0,04;0,00;0,00;
0,00;0,00;219,22;0,04;0,00;0,00;
0,00;0,00;219,38;0,04;0,00;0,00;
0,00;0,00;219,54;0,04;0,00;0,00;
0,00;0,00;219,70;0,04;0,00;0,00;
0,00;0,00;219,86;0,04;0,00;0,00;
0,00;0,00;220,02;0,08;0,00;0,00;
0,00;0,00;220,18;0,04;0,00;0,00;
0,00;0,00;220,34;0,04;0,00;0,00;
0,00;0,00;220,50;0,04;0,00;0,00;
0,00;0,00;220,66;0,04;0,00;0,00;
0,00;0,00;220,82;0,04;0,00;0,00;
0,00;0,00;220,98;0,04;0,00;0,00;
0,00;0,00;221,14;0,04;0,00;0,00;
0,00;0,00;221,30;0,04;0,00;0,00;
0,00;0,00;221,46;0,04;0,00;0,00;
0,00;0,00;221,62;0,04;0,00;0,00;
0,00;0,00;221,78;0,04;0,00;0,00;
0,00;0,00;221,94;0,04;0,00;0,00;
0,00;0,00;222,10;0,04;0,00;0,00;
0,00;0,00;222,26;0,04;0,00;0,00;
0,00;0,00;222,42;0,04;0,00;0,00;
0,00;0,00;222,58;0,04;0,00;0,00;
0,00;0,00;222,74;0,04;0,00;0,00;
0,00;0,00;222,90;0,04;0,00;0,00;
0,00;0,00;223,06;0,04;0,00;0,00;
0,00;0,00;223,22;0,04;0,00;0,00;
0,00;0,00;223,38;0,04;0,00;0,00;
0,00;0,00;223,54;0,04;0,00;0,00;
0,00;0,00;223,70;0,04;0,00;0,00;
0,00;0,00;223,86;0,04;0,00;0,00;
0,00;0,00;224,02;0,04;0,00;0,00;
0,00;0,00;224,10;-0,04;0,00;0,00;
0,00;0,00;224,10;0,04;0,00;0,00;
0,00;0,00;224,10;0,04;0,00;0,00;
