3943;17.02.20 16:46:57;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;186,33;0,16;0,00;0,00;
0,00;0,00;186,49;0,23;0,00;0,00;
0,00;0,00;186,65;0,23;0,00;0,00;
0,00;0,00;186,81;0,16;0,00;0,00;
0,00;0,00;186,97;0,16;0,00;0,00;
0,00;0,00;187,13;0,08;0,00;0,00;
0,00;0,00;187,29;0,16;0,00;0,00;
0,00;0,00;187,45;0,16;0,00;0,00;
0,00;0,00;187,61;0,23;0,00;0,00;
0,00;0,00;187,77;0,16;0,00;0,00;
0,00;0,00;187,93;0,16;0,00;0,00;
0,00;0,00;188,09;0,16;0,00;0,00;
0,00;0,00;188,25;0,23;0,00;0,00;
0,00;0,00;188,41;0,16;0,00;0,00;
0,00;0,00;188,57;0,23;0,00;0,00;
0,00;0,00;188,73;0,23;0,00;0,00;
0,00;0,00;188,89;0,23;0,00;0,00;
0,00;0,00;189,05;0,23;0,00;0,00;
0,00;0,00;189,21;0,16;0,00;0,00;
0,00;0,00;189,37;0,16;0,00;0,00;
0,00;0,00;189,53;0,16;0,00;0,00;
0,00;0,00;189,69;1,37;0,00;0,00;
0,00;0,00;189,84;2,37;0,00;0,00;
0,00;0,00;190,00;2,66;0,00;0,00;
0,00;0,00;190,17;2,66;0,00;0,00;
0,00;0,00;190,33;2,59;0,00;0,00;
0,00;0,00;190,49;2,37;0,00;0,00;
0,00;0,00;190,65;2,29;0,00;0,00;
0,00;0,00;190,81;2,37;0,00;0,00;
0,00;0,00;190,97;2,51;0,00;0,00;
0,00;0,00;191,13;2,74;0,00;0,00;
0,00;0,00;191,29;2,90;0,00;0,00;
0,00;0,00;191,45;2,97;0,00;0,00;
0,00;0,00;191,61;2,97;0,00;0,00;
0,00;0,00;191,77;3,04;0,00;0,00;
0,00;0,00;191,93;3,12;0,00;0,00;
0,00;0,00;192,09;3,27;0,00;0,00;
