20551;04.06.21 12:29:32;21;Avvicinamento Pressata Finale;Alcun errore (0);20210604112703A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;294,14;7,96;0,00;0,00;
0,00;0,00;294,30;8,04;0,00;0,00;
0,00;0,00;294,46;8,17;0,00;0,00;
0,00;0,00;294,62;8,34;0,00;0,00;
0,00;0,00;294,78;8,52;0,00;0,00;
0,00;0,00;294,94;8,70;0,00;0,00;
0,00;0,00;295,10;8,78;0,00;0,00;
0,00;0,00;295,26;9,09;0,00;0,00;
0,00;0,00;295,42;9,22;0,00;0,00;
0,00;0,00;295,58;9,22;0,00;0,00;
0,00;0,00;295,74;9,65;0,00;0,00;
0,00;0,00;295,90;9,74;0,00;0,00;
0,00;0,00;296,06;9,83;0,00;0,00;
0,00;0,00;296,22;10,18;0,00;0,00;
0,00;0,00;296,38;10,22;0,00;0,00;
0,00;0,00;296,54;10,10;0,00;0,00;
0,00;0,00;296,70;10,31;0,00;0,00;
0,00;0,00;296,87;10,44;0,00;0,00;
0,00;0,00;297,02;10,31;0,00;0,00;
0,00;0,00;297,18;10,52;0,00;0,00;
0,00;0,00;297,35;10,57;0,00;0,00;
0,00;0,00;297,50;10,48;0,00;0,00;
0,00;0,00;297,66;10,61;0,00;0,00;
0,00;0,00;297,82;10,66;0,00;0,00;
0,00;0,00;297,98;10,43;0,00;0,00;
0,00;0,00;298,14;10,57;0,00;0,00;
0,00;0,00;298,30;10,61;0,00;0,00;
0,00;0,00;298,46;10,35;0,00;0,00;
0,00;0,00;298,63;10,52;0,00;0,00;
0,00;0,00;298,79;10,48;0,00;0,00;
0,00;0,00;298,95;10,35;0,00;0,00;
0,00;0,00;299,10;10,48;0,00;0,00;
0,00;0,00;299,26;10,52;0,00;0,00;
0,00;0,00;299,42;10,40;0,00;0,00;
0,00;0,00;299,58;10,61;0,00;0,00;
0,00;0,00;299,74;10,70;0,00;0,00;
0,00;0,00;299,90;10,57;0,00;0,00;
0,00;0,00;300,06;10,74;0,00;0,00;
0,00;0,00;300,22;10,91;0,00;0,00;
0,00;0,00;300,38;10,87;0,00;0,00;
0,00;0,00;300,54;11,26;0,00;0,00;
0,00;0,00;300,70;11,57;0,00;0,00;
0,00;0,00;300,86;11,57;0,00;0,00;
0,00;0,00;301,02;11,83;0,00;0,00;
0,00;0,00;301,18;11,87;0,00;0,00;
0,00;0,00;301,34;11,92;0,00;0,00;
0,00;0,00;301,51;12,00;0,00;0,00;
0,00;0,00;301,66;12,18;0,00;0,00;
0,00;0,00;301,83;12,13;0,00;0,00;
0,00;0,00;301,98;12,18;0,00;0,00;
0,00;0,00;302,14;12,31;0,00;0,00;
0,00;0,00;302,31;12,22;0,00;0,00;
0,00;0,00;302,46;12,31;0,00;0,00;
0,00;0,00;302,62;12,35;0,00;0,00;
0,00;0,00;302,78;12,22;0,00;0,00;
0,00;0,00;302,94;12,35;0,00;0,00;
0,00;0,00;303,10;12,31;0,00;0,00;
0,00;0,00;303,27;12,22;0,00;0,00;
0,00;0,00;303,42;12,35;0,00;0,00;
0,00;0,00;303,58;12,35;0,00;0,00;
0,00;0,00;303,74;12,35;0,00;0,00;
0,00;0,00;303,90;12,43;0,00;0,00;
0,00;0,00;304,07;12,48;0,00;0,00;
0,00;0,00;304,22;12,43;0,00;0,00;
0,00;0,00;304,38;12,61;0,00;0,00;
0,00;0,00;304,54;12,87;0,00;0,00;
0,00;0,00;304,70;12,78;0,00;0,00;
0,00;0,00;304,86;12,96;0,00;0,00;
0,00;0,00;305,02;13,26;0,00;0,00;
0,00;0,00;305,19;13,26;0,00;0,00;
0,00;0,00;305,34;13,53;0,00;0,00;
0,00;0,00;305,50;13,65;0,00;0,00;
0,00;0,00;305,66;13,70;0,00;0,00;
0,00;0,00;305,82;13,74;0,00;0,00;
0,00;0,00;305,98;13,74;0,00;0,00;
0,00;0,00;306,14;13,74;0,00;0,00;
0,00;0,00;306,30;13,74;0,00;0,00;
0,00;0,00;306,46;13,83;0,00;0,00;
0,00;0,00;306,63;13,83;0,00;0,00;
0,00;0,00;306,79;13,91;0,00;0,00;
0,00;0,00;306,94;14,04;0,00;0,00;
0,00;0,00;307,09;18,35;0,00;0,00;
0,00;0,00;307,22;26,18;0,00;0,00;
0,00;0,00;307,36;35,57;0,00;0,00;
0,00;0,00;307,39;37,66;0,00;0,00;
0,00;0,00;307,40;38,62;0,00;0,00;
0,00;0,00;307,42;39,27;0,00;0,00;
0,00;0,00;307,43;40,01;0,00;0,00;
0,00;0,00;307,43;40,10;0,00;0,00;
0,00;0,00;307,43;40,19;0,00;0,00;
0,00;0,00;307,39;39,79;0,00;0,00;
0,00;0,00;302,22;-0,09;0,00;0,00;
0,00;0,00;292,63;-0,09;0,00;0,00;
0,00;0,00;287,83;-0,04;0,00;0,00;
0,00;0,00;283,02;-0,09;0,00;0,00;
0,00;0,00;278,22;-0,04;0,00;0,00;
0,00;0,00;273,42;-0,04;0,00;0,00;
0,00;0,00;254,22;0,04;0,00;0,00;
0,00;0,00;239,82;0,04;0,00;0,00;
0,00;0,00;220,62;0,04;0,00;0,00;
0,00;0,00;215,82;0,09;0,00;0,00;
0,00;0,00;206,22;0,04;0,00;0,00;
0,00;0,00;196,62;0,04;0,00;0,00;
0,00;0,00;191,82;0,04;0,00;0,00;
0,00;0,00;187,02;0,09;0,00;0,00;
0,00;0,00;182,22;0,04;0,00;0,00;
0,00;0,00;177,42;0,09;0,00;0,00;
0,00;0,00;167,82;0,04;0,00;0,00;
0,00;0,00;163,02;0,04;0,00;0,00;
0,00;0,00;158,22;0,04;0,00;0,00;
0,00;0,00;153,42;0,04;0,00;0,00;
0,00;0,00;143,82;0,04;0,00;0,00;
0,00;0,00;139,02;0,04;0,00;0,00;
0,00;0,00;134,22;0,04;0,00;0,00;
0,00;0,00;119,82;0,04;0,00;0,00;
0,00;0,00;110,22;0,04;0,00;0,00;
0,00;0,00;105,42;0,04;0,00;0,00;
0,00;0,00;100,62;0,09;0,00;0,00;
0,00;0,00;86,22;0,04;0,00;0,00;
0,00;0,00;81,42;0,04;0,00;0,00;
0,00;0,00;76,62;0,04;0,00;0,00;
0,00;0,00;71,82;0,04;0,00;0,00;
0,00;0,00;57,42;0,09;0,00;0,00;
0,00;0,00;52,62;-0,04;0,00;0,00;
0,00;0,00;47,82;0,04;0,00;0,00;
0,00;0,00;43,58;0,04;0,00;0,00;
0,00;0,00;41,12;0,09;0,00;0,00;
0,00;0,00;40,54;0,04;0,00;0,00;
