46689;18.06.21 08:20:55;22;Avvicinamento pre-pressata pressata Fuori Ingombro;position < min position (11);20210617145700P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;182,80;6,85;0,00;0,00;
0,00;0,00;182,95;7,93;0,00;0,00;
0,00;0,00;183,12;8,22;0,00;0,00;
0,00;0,00;183,28;8,22;0,00;0,00;
0,00;0,00;183,44;8,22;0,00;0,00;
0,00;0,00;183,61;8,54;0,00;0,00;
0,00;0,00;183,77;8,60;0,00;0,00;
0,00;0,00;183,93;8,83;0,00;0,00;
0,00;0,00;184,09;8,91;0,00;0,00;
0,00;0,00;184,25;9,21;0,00;0,00;
0,00;0,00;184,41;9,21;0,00;0,00;
0,00;0,00;184,57;9,44;0,00;0,00;
0,00;0,00;184,73;9,67;0,00;0,00;
0,00;0,00;184,89;9,75;0,00;0,00;
0,00;0,00;185,05;10,06;0,00;0,00;
0,00;0,00;185,21;10,12;0,00;0,00;
0,00;0,00;185,37;10,36;0,00;0,00;
0,00;0,00;185,53;10,44;0,00;0,00;
0,00;0,00;185,69;10,67;0,00;0,00;
0,00;0,00;185,85;10,97;0,00;0,00;
0,00;0,00;186,01;11,28;0,00;0,00;
0,00;0,00;186,17;11,57;0,00;0,00;
0,00;0,00;186,33;11,88;0,00;0,00;
0,00;0,00;186,49;12,18;0,00;0,00;
0,00;0,00;186,65;12,34;0,00;0,00;
0,00;0,00;186,81;12,63;0,00;0,00;
0,00;0,00;186,97;12,87;0,00;0,00;
0,00;0,00;187,13;13,10;0,00;0,00;
0,00;0,00;187,29;13,18;0,00;0,00;
0,00;0,00;187,45;13,41;0,00;0,00;
0,00;0,00;187,61;13,71;0,00;0,00;
0,00;0,00;187,77;13,86;0,00;0,00;
0,00;0,00;187,93;14,02;0,00;0,00;
0,00;0,00;188,09;14,31;0,00;0,00;
0,00;0,00;188,25;14,31;0,00;0,00;
0,00;0,00;188,41;14,47;0,00;0,00;
0,00;0,00;188,57;14,63;0,00;0,00;
0,00;0,00;188,73;14,92;0,00;0,00;
0,00;0,00;188,89;15,15;0,00;0,00;
0,00;0,00;188,92;12,26;0,00;0,00;
0,00;0,00;188,94;13,55;0,00;0,00;
0,00;0,00;188,95;13,10;0,00;0,00;
0,00;0,00;188,95;12,79;0,00;0,00;
0,00;0,00;188,95;12,41;0,00;0,00;
0,00;0,00;188,95;12,34;0,00;0,00;
0,00;0,00;188,94;12,18;0,00;0,00;
0,00;0,00;188,94;12,18;0,00;0,00;
0,00;0,00;188,94;12,18;0,00;0,00;
0,00;0,00;188,94;11,88;0,00;0,00;
0,00;0,00;188,94;11,88;0,00;0,00;
0,00;0,00;188,94;11,88;0,00;0,00;
0,00;0,00;188,94;11,88;0,00;0,00;
0,00;0,00;188,94;11,88;0,00;0,00;
