3376;14.01.20 15:09:29;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force < min. force (9);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;180,81;0,30;0,00;0,00;
0,00;0,00;180,97;0,30;0,00;0,00;
0,00;0,00;181,13;0,30;0,00;0,00;
0,00;0,00;181,29;0,22;0,00;0,00;
0,00;0,00;181,45;0,30;0,00;0,00;
0,00;0,00;181,61;0,30;0,00;0,00;
0,00;0,00;181,77;0,30;0,00;0,00;
0,00;0,00;181,93;0,22;0,00;0,00;
0,00;0,00;182,09;0,30;0,00;0,00;
0,00;0,00;182,25;0,30;0,00;0,00;
0,00;0,00;182,41;0,14;0,00;0,00;
0,00;0,00;182,57;0,30;0,00;0,00;
0,00;0,00;182,73;0,30;0,00;0,00;
0,00;0,00;182,89;0,30;0,00;0,00;
0,00;0,00;183,05;0,22;0,00;0,00;
0,00;0,00;183,21;0,30;0,00;0,00;
0,00;0,00;183,37;0,30;0,00;0,00;
0,00;0,00;183,53;0,30;0,00;0,00;
0,00;0,00;183,69;0,30;0,00;0,00;
0,00;0,00;183,85;0,30;0,00;0,00;
0,00;0,00;184,01;0,30;0,00;0,00;
0,00;0,00;184,17;0,30;0,00;0,00;
0,00;0,00;184,33;0,30;0,00;0,00;
0,00;0,00;184,49;0,22;0,00;0,00;
0,00;0,00;184,65;0,30;0,00;0,00;
0,00;0,00;184,81;0,30;0,00;0,00;
0,00;0,00;184,97;0,30;0,00;0,00;
0,00;0,00;185,13;0,30;0,00;0,00;
0,00;0,00;185,29;0,30;0,00;0,00;
0,00;0,00;185,45;0,30;0,00;0,00;
0,00;0,00;185,61;0,30;0,00;0,00;
0,00;0,00;185,77;0,30;0,00;0,00;
0,00;0,00;185,93;0,30;0,00;0,00;
0,00;0,00;186,09;0,22;0,00;0,00;
0,00;0,00;186,25;0,30;0,00;0,00;
0,00;0,00;186,41;0,30;0,00;0,00;
0,00;0,00;186,57;0,30;0,00;0,00;
0,00;0,00;186,73;0,22;0,00;0,00;
0,00;0,00;186,89;0,30;0,00;0,00;
0,00;0,00;187,05;0,30;0,00;0,00;
0,00;0,00;187,21;0,30;0,00;0,00;
0,00;0,00;187,37;0,22;0,00;0,00;
0,00;0,00;187,53;0,30;0,00;0,00;
0,00;0,00;187,69;0,30;0,00;0,00;
0,00;0,00;187,85;0,30;0,00;0,00;
0,00;0,00;188,01;0,30;0,00;0,00;
0,00;0,00;188,17;0,30;0,00;0,00;
0,00;0,00;188,33;0,30;0,00;0,00;
0,00;0,00;188,49;0,30;0,00;0,00;
0,00;0,00;188,65;0,22;0,00;0,00;
0,00;0,00;188,81;0,30;0,00;0,00;
0,00;0,00;188,97;0,30;0,00;0,00;
0,00;0,00;189,13;0,30;0,00;0,00;
0,00;0,00;189,29;0,30;0,00;0,00;
0,00;0,00;189,45;0,22;0,00;0,00;
0,00;0,00;189,61;0,30;0,00;0,00;
0,00;0,00;189,77;0,30;0,00;0,00;
0,00;0,00;189,93;0,22;0,00;0,00;
0,00;0,00;190,09;0,30;0,00;0,00;
0,00;0,00;190,25;0,30;0,00;0,00;
0,00;0,00;190,41;0,30;0,00;0,00;
0,00;0,00;190,57;0,30;0,00;0,00;
0,00;0,00;190,73;0,30;0,00;0,00;
0,00;0,00;190,89;0,30;0,00;0,00;
0,00;0,00;191,05;0,30;0,00;0,00;
0,00;0,00;191,21;0,30;0,00;0,00;
0,00;0,00;191,37;0,30;0,00;0,00;
0,00;0,00;191,53;0,30;0,00;0,00;
0,00;0,00;191,69;0,30;0,00;0,00;
0,00;0,00;191,85;0,30;0,00;0,00;
0,00;0,00;192,01;0,22;0,00;0,00;
0,00;0,00;192,17;0,22;0,00;0,00;
0,00;0,00;192,33;0,22;0,00;0,00;
0,00;0,00;192,49;0,22;0,00;0,00;
0,00;0,00;192,65;0,22;0,00;0,00;
0,00;0,00;192,81;0,30;0,00;0,00;
0,00;0,00;192,97;0,30;0,00;0,00;
0,00;0,00;193,13;0,30;0,00;0,00;
0,00;0,00;193,29;0,30;0,00;0,00;
0,00;0,00;193,45;0,30;0,00;0,00;
0,00;0,00;193,61;0,22;0,00;0,00;
0,00;0,00;193,77;0,14;0,00;0,00;
0,00;0,00;193,93;0,30;0,00;0,00;
0,00;0,00;194,09;0,22;0,00;0,00;
0,00;0,00;194,25;0,30;0,00;0,00;
0,00;0,00;194,41;0,30;0,00;0,00;
0,00;0,00;194,57;0,30;0,00;0,00;
0,00;0,00;194,73;0,30;0,00;0,00;
0,00;0,00;194,89;0,22;0,00;0,00;
0,00;0,00;195,05;0,30;0,00;0,00;
0,00;0,00;195,21;0,30;0,00;0,00;
0,00;0,00;195,37;0,30;0,00;0,00;
0,00;0,00;195,53;0,30;0,00;0,00;
0,00;0,00;195,69;0,30;0,00;0,00;
0,00;0,00;195,85;0,30;0,00;0,00;
0,00;0,00;196,01;0,30;0,00;0,00;
0,00;0,00;196,17;0,30;0,00;0,00;
0,00;0,00;196,33;0,30;0,00;0,00;
0,00;0,00;196,49;0,22;0,00;0,00;
0,00;0,00;196,65;0,22;0,00;0,00;
