46725;20.04.21 14:35:38;10;Repair_strategy;force > max. force (8);20210420135746A0217;
0,00;0,00;152,74;1,35;0,00;0,00;
0,00;0,00;152,91;-0,12;0,00;0,00;
0,00;0,00;153,08;-0,09;0,00;0,00;
0,00;0,00;153,23;-0,00;0,00;0,00;
0,00;0,00;153,39;0,06;0,00;0,00;
0,00;0,00;153,55;0,09;0,00;0,00;
0,00;0,00;153,71;0,09;0,00;0,00;
0,00;0,00;153,87;0,04;0,00;0,00;
0,00;0,00;154,03;0,02;0,00;0,00;
0,00;0,00;154,19;0,22;0,00;0,00;
0,00;0,00;154,35;0,22;0,00;0,00;
0,00;0,00;154,51;0,74;0,00;0,00;
0,00;0,00;154,66;1,53;0,00;0,00;
0,00;0,00;154,82;1,74;0,00;0,00;
0,00;0,00;154,98;1,83;0,00;0,00;
0,00;0,00;155,14;1,87;0,00;0,00;
0,00;0,00;155,30;1,99;0,00;0,00;
0,00;0,00;155,47;2,12;0,00;0,00;
0,00;0,00;155,63;2,22;0,00;0,00;
0,00;0,00;155,79;2,35;0,00;0,00;
0,00;0,00;155,95;2,48;0,00;0,00;
0,00;0,00;156,11;2,62;0,00;0,00;
0,00;0,00;156,27;2,76;0,00;0,00;
0,00;0,00;156,43;2,91;0,00;0,00;
0,00;0,00;156,59;3,03;0,00;0,00;
0,00;0,00;156,70;2,94;0,00;0,00;
0,00;0,00;156,71;2,69;0,00;0,00;
0,00;0,00;156,64;1,47;0,00;0,00;
0,00;0,00;156,11;-0,21;0,00;0,00;
0,00;0,00;155,08;-0,09;0,00;0,00;
0,00;0,00;154,27;0,02;0,00;0,00;
0,00;0,00;153,86;0,06;0,00;0,00;
0,00;0,00;153,74;-0,00;0,00;0,00;
0,00;0,00;153,70;-0,02;0,00;0,00;
0,00;0,00;153,76;0,09;0,00;0,00;
0,00;0,00;153,90;0,06;0,00;0,00;
0,00;0,00;154,05;0,02;0,00;0,00;
0,00;0,00;154,22;0,02;0,00;0,00;
0,00;0,00;154,38;0,02;0,00;0,00;
0,00;0,00;154,55;0,04;0,00;0,00;
0,00;0,00;154,71;0,06;0,00;0,00;
0,00;0,00;154,87;0,06;0,00;0,00;
0,00;0,00;155,03;0,04;0,00;0,00;
0,00;0,00;155,19;0,06;0,00;0,00;
0,00;0,00;155,35;0,06;0,00;0,00;
0,00;0,00;155,51;0,04;0,00;0,00;
0,00;0,00;155,67;0,06;0,00;0,00;
0,00;0,00;155,83;0,04;0,00;0,00;
0,00;0,00;155,99;0,06;0,00;0,00;
0,00;0,00;156,15;0,09;0,00;0,00;
0,00;0,00;156,31;0,04;0,00;0,00;
0,00;0,00;156,47;0,27;0,00;0,00;
0,00;0,00;156,63;0,42;0,00;0,00;
0,00;0,00;156,77;3,32;0,00;0,00;
0,00;0,00;156,92;3,39;0,00;0,00;
0,00;0,00;157,09;3,53;0,00;0,00;
0,00;0,00;157,25;3,68;0,00;0,00;
0,00;0,00;157,42;3,80;0,00;0,00;
0,00;0,00;157,58;3,93;0,00;0,00;
0,00;0,00;157,74;4,02;0,00;0,00;
0,00;0,00;157,90;4,20;0,00;0,00;
0,00;0,00;158,06;4,34;0,00;0,00;
0,00;0,00;158,22;4,47;0,00;0,00;
0,00;0,00;158,38;4,63;0,00;0,00;
0,00;0,00;158,54;4,74;0,00;0,00;
0,00;0,00;158,70;4,92;0,00;0,00;
0,00;0,00;158,86;5,09;0,00;0,00;
0,00;0,00;159,02;5,24;0,00;0,00;
0,00;0,00;159,18;5,38;0,00;0,00;
0,00;0,00;159,34;5,54;0,00;0,00;
0,00;0,00;159,51;5,67;0,00;0,00;
0,00;0,00;159,66;5,83;0,00;0,00;
0,00;0,00;159,82;6,01;0,00;0,00;
0,00;0,00;159,98;6,19;0,00;0,00;
0,00;0,00;160,14;6,33;0,00;0,00;
0,00;0,00;160,30;6,47;0,00;0,00;
0,00;0,00;160,46;6,65;0,00;0,00;
0,00;0,00;160,62;6,78;0,00;0,00;
0,00;0,00;160,78;6,94;0,00;0,00;
0,00;0,00;160,94;7,16;0,00;0,00;
0,00;0,00;161,10;7,37;0,00;0,00;
0,00;0,00;161,26;7,51;0,00;0,00;
0,00;0,00;161,42;7,66;0,00;0,00;
0,00;0,00;161,58;7,93;0,00;0,00;
0,00;0,00;161,74;8,18;0,00;0,00;
0,00;0,00;161,90;8,39;0,00;0,00;
0,00;0,00;162,06;8,57;0,00;0,00;
0,00;0,00;162,22;8,82;0,00;0,00;
0,00;0,00;162,38;8,95;0,00;0,00;
0,00;0,00;162,54;9,18;0,00;0,00;
0,00;0,00;162,70;9,34;0,00;0,00;
0,00;0,00;162,86;9,49;0,00;0,00;
0,00;0,00;163,02;9,70;0,00;0,00;
0,00;0,00;163,18;9,92;0,00;0,00;
0,00;0,00;163,34;10,15;0,00;0,00;
0,00;0,00;163,50;10,40;0,00;0,00;
0,00;0,00;163,66;10,53;0,00;0,00;
0,00;0,00;163,82;10,71;0,00;0,00;
0,00;0,00;163,98;10,99;0,00;0,00;
0,00;0,00;164,14;11,44;0,00;0,00;
0,00;0,00;164,30;11,80;0,00;0,00;
0,00;0,00;164,46;12,07;0,00;0,00;
0,00;0,00;164,62;12,41;0,00;0,00;
0,00;0,00;164,78;12,66;0,00;0,00;
0,00;0,00;164,94;12,84;0,00;0,00;
0,00;0,00;165,10;13,04;0,00;0,00;
0,00;0,00;165,26;13,29;0,00;0,00;
0,00;0,00;165,42;13,70;0,00;0,00;
0,00;0,00;165,58;14,02;0,00;0,00;
0,00;0,00;165,74;14,88;0,00;0,00;
0,00;0,00;165,87;20,10;0,00;0,00;
0,00;0,00;165,95;24,03;0,00;0,00;
0,00;0,00;165,96;24,44;0,00;0,00;
0,00;0,00;165,97;24,98;0,00;0,00;
0,00;0,00;165,99;25,50;0,00;0,00;
0,00;0,00;165,99;25,84;0,00;0,00;
0,00;0,00;166,00;26,18;0,00;0,00;
0,00;0,00;166,01;26,45;0,00;0,00;
0,00;0,00;166,02;26,77;0,00;0,00;
0,00;0,00;166,02;27,04;0,00;0,00;
0,00;0,00;166,02;27,20;0,00;0,00;
0,00;0,00;166,03;27,36;0,00;0,00;
0,00;0,00;166,03;27,51;0,00;0,00;
0,00;0,00;166,04;27,68;0,00;0,00;
0,00;0,00;166,04;27,79;0,00;0,00;
